INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192057785,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,366,,2019-07-26 12:55,2019,7,Friday,12,Part One,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192053206,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,366,,2019-07-11 5:00,2019,7,Thursday,5,Part One,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192053156,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,366,,2019-07-10 12:00,2019,7,Wednesday,12,Part One,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192048764,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,366,,2019-06-26 22:05,2019,6,Wednesday,22,Part Two,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192045863,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,367,,2019-06-17 11:14,2019,6,Monday,11,Part Three,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192043110,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,367,,2019-06-07 20:41,2019,6,Friday,20,Part Two,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192043110,2646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,C11,367,,2019-06-07 20:41,2019,6,Friday,20,Part Two,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192042854,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,366,,2019-06-07 2:07,2019,6,Friday,2,Part Three,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192041497,2628,Phone Call Complaints,OBSCENE PHONE CALLS,C11,366,,2019-06-02 21:06,2019,6,Sunday,21,Part Two,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192041192,1845,Drug Violation,DRUGS - POSS CLASS D,C11,367,,2019-06-01 16:41,2019,6,Saturday,16,Part Two,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192039299,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C11,366,,2019-05-26 1:33,2019,5,Sunday,1,Part Three,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192024781,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,C11,366,,2019-04-04 13:31,2019,4,Thursday,13,Part Two,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I192018575,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,362,,2019-03-13 8:13,2019,3,Wednesday,8,Part Three,CENTRE ST,42.29108672,-71.06867044,"(42.29108672, -71.06867044)"
I192049591,3402,Service,ANIMAL INCIDENTS,C11,377,,2019-06-28 19:00,2019,6,Friday,19,Part Three,FROST AVE,42.29108955,-71.05057174,"(42.29108955, -71.05057174)"
192096634,3115,,INVESTIGATE PERSON,C11,396,0,2019-11-30 4:52,2019,11,Saturday,4,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192096427,2647,,THREATS TO DO BODILY HARM,C11,397,0,2019-11-29 10:10,2019,11,Friday,10,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192087724,2608,,CHILD REQUIRING ASSISTANCE (FOMERLY CHINS),C11,396,0,2019-10-29 19:57,2019,10,Tuesday,19,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192087372,3301,,VERBAL DISPUTE,C11,396,0,2019-10-28 17:15,2019,10,Monday,17,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192087202,3301,,VERBAL DISPUTE,C11,396,0,2019-10-28 8:30,2019,10,Monday,8,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192083807,3501,,MISSING PERSON,C11,396,0,2019-10-14 12:00,2019,10,Monday,12,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192081585,801,,ASSAULT - SIMPLE,C11,397,0,2019-10-08 16:30,2019,10,Tuesday,16,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
192080821,3005,,SICK ASSIST,C11,396,0,2019-10-06 11:18,2019,10,Sunday,11,,MELBOURNE ST,42.291092,-71.065945,"(42.29109200, -71.06594500)"
I192072776,3115,Investigate Person,INVESTIGATE PERSON,C11,396,,2019-09-11 9:54,2019,9,Wednesday,9,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192070983,3301,Verbal Disputes,VERBAL DISPUTE,C11,396,,2019-09-05 15:05,2019,9,Thursday,15,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192071367,3201,Property Lost,PROPERTY - LOST,C11,397,,2019-09-04 12:00,2019,9,Wednesday,12,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192065085,3125,Warrant Arrests,WARRANT ARREST,C11, ,,2019-08-18 21:41,2019,8,Sunday,21,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192065526,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,396,,2019-08-17 3:00,2019,8,Saturday,3,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192064689,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,396,,2019-08-16 22:00,2019,8,Friday,22,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192064664,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,396,,2019-08-16 17:00,2019,8,Friday,17,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192058639,3301,Verbal Disputes,VERBAL DISPUTE,C11,396,,2019-07-29 11:17,2019,7,Monday,11,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192051034,3301,Verbal Disputes,VERBAL DISPUTE,C11,396,,2019-07-04 4:07,2019,7,Thursday,4,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192040181,3201,Property Lost,PROPERTY - LOST,C11,397,,2019-05-27 0:00,2019,5,Monday,0,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192035017,619,Larceny,LARCENY ALL OTHERS,C11,397,,2019-05-11 12:40,2019,5,Saturday,12,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192031597,617,Larceny,LARCENY THEFT FROM BUILDING,C11,396,,2019-04-13 8:00,2019,4,Saturday,8,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192023141,3301,Verbal Disputes,VERBAL DISPUTE,C11,396,,2019-03-29 16:30,2019,3,Friday,16,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192005660,617,Larceny,LARCENY THEFT FROM BUILDING,C11,396,,2019-01-22 11:27,2019,1,Tuesday,11,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192008347,619,Larceny,LARCENY ALL OTHERS,C11,396,,2019-01-19 12:03,2019,1,Saturday,12,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192030805,3115,Investigate Person,INVESTIGATE PERSON,C11,396,,2019-01-18 0:00,2019,1,Friday,0,Part Three,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192000259,2629,Harassment,HARASSMENT,C11,397,,2019-01-01 2:36,2019,1,Tuesday,2,Part Two,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
192092031,3201,,PROPERTY - LOST/ MISSING,C11,397,0,2019-11-13 13:00,2019,11,Wednesday,13,,WAINWRIGHT ST,42.291098,-71.067393,"(42.29109800, -71.06739300)"
192078904,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,397,0,2019-09-30 6:54,2019,9,Monday,6,,WAINWRIGHT ST,42.291098,-71.067393,"(42.29109800, -71.06739300)"
I192043449,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,C11,397,,2019-06-08 22:06,2019,6,Saturday,22,Part Three,WAINWRIGHT ST,42.29109897,-71.06739349,"(42.29109897, -71.06739349)"
I192007442,2610,Other,TRESPASSING,C11,397,,2019-01-28 7:30,2019,1,Monday,7,Part Two,WAINWRIGHT ST,42.29109897,-71.06739349,"(42.29109897, -71.06739349)"
192102980,2671,,VIOLATION - HARASSMENT PREVENTION ORDER,B3,450,0,2019-12-22 22:40,2019,12,Sunday,22,,WHITFIELD ST,42.291105,-71.074244,"(42.29110500, -71.07424400)"
192093052,2007,,VIOLATION - RESTRAINING ORDER (NO ARREST),B3,450,0,2019-11-17 3:30,2019,11,Sunday,3,,WHITFIELD ST,42.291105,-71.074244,"(42.29110500, -71.07424400)"
192090067,617,,LARCENY THEFT FROM BUILDING,B3,449,0,2019-11-06 16:54,2019,11,Wednesday,16,,WHITFIELD ST,42.291105,-71.074244,"(42.29110500, -71.07424400)"
192087618,3115,,INVESTIGATE PERSON,B3,450,0,2019-10-29 14:05,2019,10,Tuesday,14,,WHITFIELD ST,42.291105,-71.074244,"(42.29110500, -71.07424400)"
192086672,3115,,INVESTIGATE PERSON,B3,450,0,2019-10-26 1:30,2019,10,Saturday,1,,WHITFIELD ST,42.291105,-71.074244,"(42.29110500, -71.07424400)"
I192009741,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,450,,2019-02-06 15:47,2019,2,Wednesday,15,Part Three,WHITFIELD ST,42.291106,-71.07424442,"(42.29110600, -71.07424442)"
I192076155,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C11,396,,2019-09-21 16:19,2019,9,Saturday,16,Part Three,DORCHESTER AVE,42.29110848,-71.06281101,"(42.29110848, -71.06281101)"
I192062319,3410,Towed,TOWED MOTOR VEHICLE,C11,396,,2019-08-09 10:21,2019,8,Friday,10,Part Three,DORCHESTER AVE,42.29110848,-71.06281101,"(42.29110848, -71.06281101)"
I192047752,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,396,,2019-06-23 19:51,2019,6,Sunday,19,Part One,DORCHESTER AVE,42.29110848,-71.06281101,"(42.29110848, -71.06281101)"
I192031631,3410,Towed,TOWED MOTOR VEHICLE,C11,396,,2019-04-29 17:07,2019,4,Monday,17,Part Three,DORCHESTER AVE,42.29110848,-71.06281101,"(42.29110848, -71.06281101)"
I192025246,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,396,,2019-04-06 4:39,2019,4,Saturday,4,Part One,DORCHESTER AVE,42.29110848,-71.06281101,"(42.29110848, -71.06281101)"
192100259,2646,,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,B3, ,0,2019-12-13 10:30,2019,12,Friday,10,,,42.291113,-71.088778,"(42.29111300, -71.08877800)"
I192044777,3207,Property Found,PROPERTY - FOUND,E5,738,,2019-06-13 8:51,2019,6,Thursday,8,Part Three,BONAIR ST,42.2911144,-71.16274805,"(42.29111440, -71.16274805)"
I192038348,3001,Medical Assistance,DEATH INVESTIGATION,E5,738,,2019-05-22 12:00,2019,5,Wednesday,12,Part Three,BONAIR ST,42.2911144,-71.16274805,"(42.29111440, -71.16274805)"
192098772,520,,BURGLARY - RESIDENTIAL,C11,366,0,2019-12-08 8:39,2019,12,Sunday,8,,LONSDALE ST,42.291115,-71.058436,"(42.29111500, -71.05843600)"
192098477,801,,ASSAULT - SIMPLE,C11,366,0,2019-12-07 1:22,2019,12,Saturday,1,,LONSDALE ST,42.291115,-71.058436,"(42.29111500, -71.05843600)"
192096151,3301,,VERBAL DISPUTE,C11,366,0,2019-11-27 20:13,2019,11,Wednesday,20,,LONSDALE ST,42.291115,-71.058436,"(42.29111500, -71.05843600)"
192093398,3005,,SICK ASSIST,C11,365,0,2019-11-18 14:25,2019,11,Monday,14,,LONSDALE ST,42.291115,-71.058436,"(42.29111500, -71.05843600)"
192079168,3301,,VERBAL DISPUTE,C11,365,0,2019-09-30 18:35,2019,9,Monday,18,,LONSDALE ST,42.291115,-71.058436,"(42.29111500, -71.05843600)"
I192074745,3501,Missing Person Reported,MISSING PERSON,C11,366,,2019-09-01 0:00,2019,9,Sunday,0,Part Three,LONSDALE ST,42.29111533,-71.05843629,"(42.29111533, -71.05843629)"
I192068195,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,366,,2019-08-28 3:26,2019,8,Wednesday,3,Part Three,LONSDALE ST,42.29111533,-71.05843629,"(42.29111533, -71.05843629)"
I192057382,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,366,,2019-07-25 2:13,2019,7,Thursday,2,Part Three,LONSDALE ST,42.29111533,-71.05843629,"(42.29111533, -71.05843629)"
I192029811,3201,Property Lost,PROPERTY - LOST,C11,365,,2019-03-26 0:00,2019,3,Tuesday,0,Part Three,LONSDALE ST,42.29111533,-71.05843629,"(42.29111533, -71.05843629)"
192084258,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3, ,0,2019-10-17 23:22,2019,10,Thursday,23,,,42.291129,-71.088847,"(42.29112900, -71.08884700)"
I192037045,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,440,,2019-05-18 14:26,2019,5,Saturday,14,Part Two,STRATTON ST,42.29112915,-71.08884742,"(42.29112915, -71.08884742)"
192101823,3502,,MISSING PERSON - LOCATED,C11,396,0,2019-12-18 15:00,2019,12,Wednesday,15,,ROSELAND ST,42.291158,-71.06339,"(42.29115800, -71.06339000)"
192097543,3301,,VERBAL DISPUTE,C11,396,0,2019-12-03 21:35,2019,12,Tuesday,21,,ROSELAND ST,42.291158,-71.06339,"(42.29115800, -71.06339000)"
192089496,2647,,THREATS TO DO BODILY HARM,E13,508,0,2019-11-04 18:04,2019,11,Monday,18,,BLANVON RD,42.291158,-71.11844,"(42.29115800, -71.11844000)"
192087394,3112,,LANDLORD - TENANT,E13,508,0,2019-10-28 18:51,2019,10,Monday,18,,BLANVON RD,42.291158,-71.11844,"(42.29115800, -71.11844000)"
192085566,3005,,SICK ASSIST,E13,508,0,2019-10-22 13:11,2019,10,Tuesday,13,,BLANVON RD,42.291158,-71.11844,"(42.29115800, -71.11844000)"
I192048120,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,396,,2019-06-24 17:30,2019,6,Monday,17,Part Two,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
I192047881,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,396,,2019-06-24 8:48,2019,6,Monday,8,Part One,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
I192046998,3410,Towed,TOWED MOTOR VEHICLE,C11,396,,2019-06-21 7:29,2019,6,Friday,7,Part Three,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
I192041366,1402,Vandalism,VANDALISM,C11,396,,2019-06-02 7:29,2019,6,Sunday,7,Part Two,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
I192017323,2647,Other,THREATS TO DO BODILY HARM,C11,396,,2019-03-08 8:46,2019,3,Friday,8,Part Two,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
I192002099,2647,Other,THREATS TO DO BODILY HARM,C11,396,,2019-01-08 16:08,2019,1,Tuesday,16,Part Two,ROSELAND ST,42.29115845,-71.0633908,"(42.29115845, -71.06339080)"
I192070042,3301,Verbal Disputes,VERBAL DISPUTE,E13,508,,2019-09-02 18:48,2019,9,Monday,18,Part Three,BLANVON RD,42.291159,-71.11844,"(42.29115900, -71.11844000)"
I192060562,617,Larceny,LARCENY THEFT FROM BUILDING,E13,508,,2019-08-04 9:32,2019,8,Sunday,9,Part One,BLANVON RD,42.291159,-71.11844,"(42.29115900, -71.11844000)"
I192049533,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E13,508,,2019-06-28 10:30,2019,6,Friday,10,Part Two,BLANVON RD,42.291159,-71.11844,"(42.29115900, -71.11844000)"
