,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM
2216,2216,192080608,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,E18,520,0,2019-10-05 8:35,2019,10,Saturday,8,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-05,8:35,5,35,2019-10-05 8:35,TRUE
2225,2225,192080254,2647,,THREATS TO DO BODILY HARM,E18,520,0,2019-10-03 13:30,2019,10,Thursday,13,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-03,13:30,3,30,2019-10-03 13:30,TRUE
2226,2226,192081126,3502,,MISSING PERSON - LOCATED,E18,520,0,2019-10-03 12:00,2019,10,Thursday,12,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-03,12:00,3,0,2019-10-03 12:00,TRUE
2227,2227,192080306,1402,,VANDALISM,E18,520,0,2019-10-03 10:30,2019,10,Thursday,10,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-03,10:30,3,30,2019-10-03 10:30,TRUE
2228,2228,192079925,3301,,VERBAL DISPUTE,E18,520,0,2019-10-03 10:00,2019,10,Thursday,10,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-03,10:00,3,0,2019-10-03 10:00,TRUE
2240,2240,I192078095,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-09-27 14:39,2019,9,Friday,14,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-09-27,14:39,27,39,2019-09-27 14:39,TRUE
2251,2251,I192072774,3207,Property Found,PROPERTY - FOUND,E18,520,,2019-09-11 10:10,2019,9,Wednesday,10,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-09-11,10:10,11,10,2019-09-11 10:10,TRUE
2252,2252,I192072353,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-09-09 20:40,2019,9,Monday,20,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-09-09,20:40,9,40,2019-09-09 20:40,TRUE
2253,2253,I192072341,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-09-09 19:56,2019,9,Monday,19,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-09-09,19:56,9,56,2019-09-09 19:56,TRUE
2254,2254,I192072340,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-09-09 19:50,2019,9,Monday,19,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-09-09,19:50,9,50,2019-09-09 19:50,TRUE
2264,2264,I192068603,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,E18,520,,2019-08-29 12:45,2019,8,Thursday,12,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-08-29,12:45,29,45,2019-08-29 12:45,TRUE
2265,2265,I192068602,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,E18,520,,2019-08-29 12:45,2019,8,Thursday,12,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-08-29,12:45,29,45,2019-08-29 12:45,TRUE
2276,2276,I192059307,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-07-31 13:29,2019,7,Wednesday,13,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-07-31,13:29,31,29,2019-07-31 13:29,TRUE
2298,2298,I192046188,3207,Property Found,PROPERTY - FOUND,E18,520,,2019-06-18 11:51,2019,6,Tuesday,11,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-06-18,11:51,18,51,2019-06-18 11:51,TRUE
2340,2340,I192039340,3130,Search Warrants,SEARCH WARRANT,E18,520,,2019-05-10 0:00,2019,5,Friday,0,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-05-10,0:00,10,0,2019-05-10 0:00,TRUE
2345,2345,I192033892,3207,Property Found,PROPERTY - FOUND,E18,520,,2019-05-07 21:00,2019,5,Tuesday,21,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-05-07,21:00,7,0,2019-05-07 21:00,TRUE
2352,2352,I192032626,2647,Other,THREATS TO DO BODILY HARM,E18,520,,2019-05-03 12:00,2019,5,Friday,12,Part Two,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-05-03,12:00,3,0,2019-05-03 12:00,TRUE
2356,2356,I192032321,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-05-02 11:35,2019,5,Thursday,11,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-05-02,11:35,2,35,2019-05-02 11:35,TRUE
2366,2366,I192030463,3207,Property Found,PROPERTY - FOUND,E18,520,,2019-04-25 15:25,2019,4,Thursday,15,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-04-25,15:25,25,25,2019-04-25 15:25,TRUE
2371,2371,I192030128,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-04-24 0:00,2019,4,Wednesday,0,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-04-24,0:00,24,0,2019-04-24 0:00,TRUE
2372,2372,I192030127,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-04-24 0:00,2019,4,Wednesday,0,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-04-24,0:00,24,0,2019-04-24 0:00,TRUE
2387,2387,I192025938,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-04-08 18:39,2019,4,Monday,18,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-04-08,18:39,8,39,2019-04-08 18:39,TRUE
2392,2392,I192025174,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-04-05 19:49,2019,4,Friday,19,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-04-05,19:49,5,49,2019-04-05 19:49,TRUE
2410,2410,I192018731,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-03-13 19:13,2019,3,Wednesday,19,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-03-13,19:13,13,13,2019-03-13 19:13,TRUE
2422,2422,I192015548,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-03-01 9:03,2019,3,Friday,9,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-03-01,9:03,1,3,2019-03-01 9:03,TRUE
2455,2455,I192007846,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-01-30 12:03,2019,1,Wednesday,12,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-01-30,12:03,30,3,2019-01-30 12:03,TRUE
2485,2485,I192000497,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2019-01-02 18:51,2019,1,Wednesday,18,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)",2019-01-02,18:51,2,51,2019-01-02 18:51,TRUE
2516,2516,I192034357,3111,License Violation,LICENSE PREMISE VIOLATION,E18,520,,2019-05-09 12:10,2019,5,Thursday,12,Part Three,HARVARD AVE,42.25652131,-71.12229114,"(42.25652131, -71.12229114)",2019-05-09,12:10,9,10,2019-05-09 12:10,TRUE
2533,2533,I192041611,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,E18,520,,2019-06-03 11:49,2019,6,Monday,11,Part Three,HYDE PARK AVE,42.25661118,-71.12391857,"(42.25661118, -71.12391857)",2019-06-03,11:49,3,49,2019-06-03 11:49,TRUE
2653,2653,I192040743,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E18,520,,2019-05-30 11:00,2019,5,Thursday,11,Part Three,EVERETT ST,42.25725935,-71.12377043,"(42.25725935, -71.12377043)",2019-05-30,11:00,30,0,2019-05-30 11:00,TRUE
2699,2699,I192034726,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,E18,520,,2019-05-10 12:37,2019,5,Friday,12,Part Three,HYDE PARK AVE,42.25767476,-71.12367146,"(42.25767476, -71.12367146)",2019-05-10,12:37,10,37,2019-05-10 12:37,TRUE
2820,2820,I192041957,3201,Property Lost,PROPERTY - LOST,E18,520,,2019-05-31 12:30,2019,5,Friday,12,Part Three,CLAY ST,42.25809018,-71.12357249,"(42.25809018, -71.12357249)",2019-05-31,12:30,31,30,2019-05-31 12:30,TRUE
2916,2916,192103180,3115,,INVESTIGATE PERSON,E18,544,0,2019-12-23 15:00,2019,12,Monday,15,,SUMMER ST,42.258627,-71.125192,"(42.25862700, -71.12519200)",2019-12-23,15:00,23,0,2019-12-23 15:00,TRUE
2982,2982,192093616,3115,,INVESTIGATE PERSON,E18,520,0,2019-10-30 15:00,2019,10,Wednesday,15,,WEBSTER ST,42.258759,-71.122921,"(42.25875900, -71.12292100)",2019-10-30,15:00,30,0,2019-10-30 15:00,TRUE
3067,3067,I192009147,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,494,,2019-02-04 13:08,2019,2,Monday,13,Part Three,RIVER ST,42.25940183,-71.1173157,"(42.25940183, -71.11731570)",2019-02-04,13:08,4,8,2019-02-04 13:08,TRUE
3262,3262,I192062500,3410,Towed,TOWED MOTOR VEHICLE,E18,484,,2019-08-10 10:11,2019,8,Saturday,10,Part Three,BELNEL RD,42.26059891,-71.1030614,"(42.26059891, -71.10306140)",2019-08-10,10:11,10,11,2019-08-10 10:11,TRUE
3343,3343,I192036363,3115,Investigate Person,INVESTIGATE PERSON,E18,493,,2019-05-16 8:57,2019,5,Thursday,8,Part Three,RIVER ST,42.26106235,-71.11399617,"(42.26106235, -71.11399617)",2019-05-16,8:57,16,57,2019-05-16 8:57,TRUE
3660,3660,192099948,3130,,SEARCH WARRANT,E18,484,0,2019-12-12 10:10,2019,12,Thursday,10,,OSCEOLA ST,42.262645,-71.102934,"(42.26264500, -71.10293400)",2019-12-12,10:10,12,10,2019-12-12 10:10,TRUE
3715,3715,I192003921,613,Larceny,LARCENY SHOPLIFTING,E18,493,,2019-01-15 11:41,2019,1,Tuesday,11,Part One,RIVER ST,42.26283035,-71.10809203,"(42.26283035, -71.10809203)",2019-01-15,11:41,15,41,2019-01-15 11:41,TRUE
3915,3915,I192024043,3201,Property Lost,PROPERTY - LOST,E18,485,,2019-03-30 12:00,2019,3,Saturday,12,Part Three,RIVER ST,42.26361745,-71.10237387,"(42.26361745, -71.10237387)",2019-03-30,12:00,30,0,2019-03-30 12:00,TRUE
4694,4694,I192008382,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,496,,2019-02-01 12:41,2019,2,Friday,12,Part Three,HYDE PARK AVE,42.26701085,-71.12096171,"(42.26701085, -71.12096171)",2019-02-01,12:41,1,41,2019-02-01 12:41,TRUE
4906,4906,192086425,2646,,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,B3,476,0,2019-10-25 10:27,2019,10,Friday,10,,CUMMINS HWY,42.268036,-71.094843,"(42.26803600, -71.09484300)",2019-10-25,10:27,25,27,2019-10-25 10:27,TRUE
4908,4908,I192065955,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,476,,2019-08-21 12:15,2019,8,Wednesday,12,Part Three,CUMMINS HWY,42.2680362,-71.09484348,"(42.26803620, -71.09484348)",2019-08-21,12:15,21,15,2019-08-21 12:15,TRUE
4917,4917,I192040949,613,Larceny,LARCENY SHOPLIFTING,B3,476,,2019-05-31 19:00,2019,5,Friday,19,Part One,CUMMINS HWY,42.2680362,-71.09484348,"(42.26803620, -71.09484348)",2019-05-31,19:00,31,0,2019-05-31 19:00,TRUE
4927,4927,I192003791,613,Larceny,LARCENY SHOPLIFTING,B3,476,,2019-01-14 20:02,2019,1,Monday,20,Part One,CUMMINS HWY,42.2680362,-71.09484348,"(42.26803620, -71.09484348)",2019-01-14,20:02,14,2,2019-01-14 20:02,TRUE
4961,4961,192092243,617,,LARCENY THEFT FROM BUILDING,B3,476,0,2019-11-14 12:28,2019,11,Thursday,12,,BLUE HILL AVE,42.268173,-71.093876,"(42.26817300, -71.09387600)",2019-11-14,12:28,14,28,2019-11-14 12:28,TRUE
4996,4996,I192008337,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,476,,2019-02-01 11:26,2019,2,Friday,11,Part Two,BLUE HILL AVE,42.26817397,-71.09387677,"(42.26817397, -71.09387677)",2019-02-01,11:26,1,26,2019-02-01 11:26,TRUE
5077,5077,I192048566,3410,Towed,TOWED MOTOR VEHICLE,E18,547,,2019-06-26 12:43,2019,6,Wednesday,12,Part Three,HALLRON ST,42.26846689,-71.12869578,"(42.26846689, -71.12869578)",2019-06-26,12:43,26,43,2019-06-26 12:43,TRUE
5096,5096,192101720,1402,,VANDALISM,B3,481,0,2019-12-18 12:22,2019,12,Wednesday,12,,CUMMINS HWY,42.268575,-71.095748,"(42.26857500, -71.09574800)",2019-12-18,12:22,18,22,2019-12-18 12:22,TRUE
5098,5098,I192067952,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,481,,2019-08-27 13:08,2019,8,Tuesday,13,Part Three,CUMMINS HWY,42.26857609,-71.09574826,"(42.26857609, -71.09574826)",2019-08-27,13:08,27,8,2019-08-27 13:08,TRUE
5185,5185,I192055328,3410,Towed,TOWED MOTOR VEHICLE,E18,478,,2019-07-18 11:20,2019,7,Thursday,11,Part Three,MARIPOSA ST,42.26881768,-71.10651917,"(42.26881768, -71.10651917)",2019-07-18,11:20,18,20,2019-07-18 11:20,TRUE
5257,5257,I192043861,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,B3,426,,2019-06-10 13:11,2019,6,Monday,13,Part Three,BLUE HILL AVE,42.26909851,-71.09361458,"(42.26909851, -71.09361458)",2019-06-10,13:11,10,11,2019-06-10 13:11,TRUE
5304,5304,I192061579,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,476,,2019-07-26 12:45,2019,7,Friday,12,Part Three,BLUE HILL AVE,42.26922278,-71.09384023,"(42.26922278, -71.09384023)",2019-07-26,12:45,26,45,2019-07-26 12:45,TRUE
5555,5555,I192058702,3410,Towed,TOWED MOTOR VEHICLE,B3,476,,2019-07-29 13:23,2019,7,Monday,13,Part Three,REXFORD ST,42.26984836,-71.09532394,"(42.26984836, -71.09532394)",2019-07-29,13:23,29,23,2019-07-29 13:23,TRUE
5628,5628,I192017411,3201,Property Lost,PROPERTY - LOST,B3,476,,2019-03-08 14:00,2019,3,Friday,14,Part Three,BLUE HILL AVE,42.26994732,-71.09380308,"(42.26994732, -71.09380308)",2019-03-08,14:00,8,0,2019-03-08 14:00,TRUE
5709,5709,I192022677,2647,Other,THREATS TO DO BODILY HARM,B3,426,,2019-03-28 9:07,2019,3,Thursday,9,Part Two,FREMONT ST,42.27022081,-71.09054336,"(42.27022081, -71.09054336)",2019-03-28,9:07,28,7,2019-03-28 9:07,TRUE
5755,5755,I192048274,3620,Other,REPORT AFFECTING OTHER DEPTS.,B3,406,,2019-06-25 12:29,2019,6,Tuesday,12,Part Three,SOUTHMERE RD,42.27038654,-71.08451378,"(42.27038654, -71.08451378)",2019-06-25,12:29,25,29,2019-06-25 12:29,TRUE
6029,6029,I192017027,2629,Harassment,HARASSMENT,C11,387,,2019-03-07 9:00,2019,3,Thursday,9,Part Two,BEARSE AVE,42.27129722,-71.06323991,"(42.27129722, -71.06323991)",2019-03-07,9:00,7,0,2019-03-07 9:00,TRUE
6092,6092,I192050832,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,406,,2019-07-03 14:37,2019,7,Wednesday,14,Part Two,RIVER ST,42.27130225,-71.07442362,"(42.27130225, -71.07442362)",2019-07-03,14:37,3,37,2019-07-03 14:37,TRUE
6093,6093,I192050832,613,Larceny,LARCENY SHOPLIFTING,B3,406,,2019-07-03 14:37,2019,7,Wednesday,14,Part One,RIVER ST,42.27130225,-71.07442362,"(42.27130225, -71.07442362)",2019-07-03,14:37,3,37,2019-07-03 14:37,TRUE
6334,6334,I192028101,2629,Harassment,HARASSMENT,E18,479,,2019-04-16 17:26,2019,4,Tuesday,17,Part Two,CUMMINS HWY,42.27156283,-71.10594428,"(42.27156283, -71.10594428)",2019-04-16,17:26,16,26,2019-04-16 17:26,TRUE
6347,6347,I192023027,1402,Vandalism,VANDALISM,E18,555,,2019-03-28 11:49,2019,3,Thursday,11,Part Two,ARBORFIELD RD,42.27161185,-71.12241789,"(42.27161185, -71.12241789)",2019-03-28,11:49,28,49,2019-03-28 11:49,TRUE
6474,6474,I192019191,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,478,,2019-03-15 10:04,2019,3,Friday,10,Part Three,CUMMINS HWY,42.27193021,-71.10689673,"(42.27193021, -71.10689673)",2019-03-15,10:04,15,4,2019-03-15 10:04,TRUE
6668,6668,I192059943,801,Simple Assault,ASSAULT - SIMPLE,B3,473,,2019-08-01 11:35,2019,8,Thursday,11,Part Two,CUMMINS HWY,42.27245651,-71.10731992,"(42.27245651, -71.10731992)",2019-08-01,11:35,1,35,2019-08-01 11:35,TRUE
6669,6669,I192059943,801,Simple Assault,ASSAULT - SIMPLE,B3,473,,2019-08-01 11:35,2019,8,Thursday,11,Part Two,CUMMINS HWY,42.27245651,-71.10731992,"(42.27245651, -71.10731992)",2019-08-01,11:35,1,35,2019-08-01 11:35,TRUE
6670,6670,I192025074,3001,Medical Assistance,DEATH INVESTIGATION,B3,473,,2019-04-05 13:38,2019,4,Friday,13,Part Three,CUMMINS HWY,42.27245651,-71.10731992,"(42.27245651, -71.10731992)",2019-04-05,13:38,5,38,2019-04-05 13:38,TRUE
6728,6728,I192014506,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E5,705,,2019-02-25 14:46,2019,2,Monday,14,Part Two,PHEASANT ST,42.27257906,-71.14489207,"(42.27257906, -71.14489207)",2019-02-25,14:46,25,46,2019-02-25 14:46,TRUE
6741,6741,I192003142,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,408,,2019-01-12 10:48,2019,1,Saturday,10,Part Three,MONSON ST,42.27261382,-71.07295923,"(42.27261382, -71.07295923)",2019-01-12,10:48,12,48,2019-01-12 10:48,TRUE
6743,6743,I192066626,3115,Investigate Person,INVESTIGATE PERSON,E5,705,,2019-08-23 11:20,2019,8,Friday,11,Part Three,WASHINGTON ST,42.27262777,-71.14413189,"(42.27262777, -71.14413189)",2019-08-23,11:20,23,20,2019-08-23 11:20,TRUE
6753,6753,I192021943,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E18,555,,2019-03-25 7:00,2019,3,Monday,7,Part One,ARBORFIELD RD,42.27267662,-71.12227256,"(42.27267662, -71.12227256)",2019-03-25,7:00,25,0,2019-03-25 7:00,TRUE
6771,6771,192101088,3410,,TOWED MOTOR VEHICLE,C11,405,0,2019-12-16 9:00,2019,12,Monday,9,,DORCHESTER AVE,42.272735,-71.067924,"(42.27273500, -71.06792400)",2019-12-16,9:00,16,0,2019-12-16 9:00,TRUE
6857,6857,I192073245,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,407,,2019-09-11 15:00,2019,9,Wednesday,15,Part Three,OLD MORTON ST,42.27294749,-71.07154272,"(42.27294749, -71.07154272)",2019-09-11,15:00,11,0,2019-09-11 15:00,TRUE
