,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM
14,I192050537,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-02 16:31,2019,7,Tuesday,16,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-02,16:31,2,31,2019-07-02 16:31:00,FALSE
15,I192050537,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-07-02 16:31,2019,7,Tuesday,16,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-02,16:31,2,31,2019-07-02 16:31:00,FALSE
16,I192050222,2610,Other,TRESPASSING,A1,111,,2019-07-01 16:51,2019,7,Monday,16,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-01,16:51,1,51,2019-07-01 16:51:00,FALSE
17,I192049856,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-30 11:50,2019,6,Sunday,11,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-30,11:50,30,50,2019-06-30 11:50:00,FALSE
18,I192049856,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-06-30 11:50,2019,6,Sunday,11,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-30,11:50,30,50,2019-06-30 11:50:00,FALSE
19,I192049408,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,111,,2019-06-28 21:58,2019,6,Friday,21,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,21:58,28,58,2019-06-28 21:58:00,FALSE
20,I192049408,1402,Vandalism,VANDALISM,A1,111,,2019-06-28 21:58,2019,6,Friday,21,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,21:58,28,58,2019-06-28 21:58:00,FALSE
21,I192049312,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,111,,2019-06-28 16:41,2019,6,Friday,16,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,16:41,28,41,2019-06-28 16:41:00,FALSE
22,I192049312,2657,Other,VIOLATION - CITY ORDINANCE,A1,111,,2019-06-28 16:41,2019,6,Friday,16,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,16:41,28,41,2019-06-28 16:41:00,FALSE
23,I192049283,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-06-28 13:50,2019,6,Friday,13,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,13:50,28,50,2019-06-28 13:50:00,FALSE
24,I192049283,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-06-28 13:50,2019,6,Friday,13,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,13:50,28,50,2019-06-28 13:50:00,FALSE
25,I192049283,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-28 13:50,2019,6,Friday,13,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-28,13:50,28,50,2019-06-28 13:50:00,FALSE
26,I192048985,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-06-27 17:49,2019,6,Thursday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,17:49,27,49,2019-06-27 17:49:00,FALSE
27,I192048985,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-06-27 17:49,2019,6,Thursday,17,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,17:49,27,49,2019-06-27 17:49:00,FALSE
28,I192048985,1870,Drug Violation,DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE,A1,111,,2019-06-27 17:49,2019,6,Thursday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,17:49,27,49,2019-06-27 17:49:00,FALSE
29,I192048953,1845,Drug Violation,DRUGS - POSS CLASS D,A1,111,,2019-06-27 15:31,2019,6,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,15:31,27,31,2019-06-27 15:31:00,FALSE
30,I192048953,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-27 15:31,2019,6,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,15:31,27,31,2019-06-27 15:31:00,FALSE
31,I192048950,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-27 15:29,2019,6,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,15:29,27,29,2019-06-27 15:29:00,FALSE
32,I192048950,1845,Drug Violation,DRUGS - POSS CLASS D,A1,111,,2019-06-27 15:29,2019,6,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,15:29,27,29,2019-06-27 15:29:00,FALSE
33,I192048952,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-06-27 15:00,2019,6,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,15:00,27,0,2019-06-27 15:00:00,FALSE
34,I192048952,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-27 15:00,2019,6,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-27,15:00,27,0,2019-06-27 15:00:00,FALSE
35,I192048695,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-06-26 19:04,2019,6,Wednesday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-26,19:04,26,4,2019-06-26 19:04:00,TRUE
36,I192048695,1870,Drug Violation,DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE,A1,111,,2019-06-26 19:04,2019,6,Wednesday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-26,19:04,26,4,2019-06-26 19:04:00,TRUE
37,I192048695,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-06-26 19:04,2019,6,Wednesday,19,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-26,19:04,26,4,2019-06-26 19:04:00,TRUE
38,I192048106,2657,Other,VIOLATION - CITY ORDINANCE,A1,111,,2019-06-24 19:26,2019,6,Monday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-24,19:26,24,26,2019-06-24 19:26:00,TRUE
39,I192047733,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-06-23 18:50,2019,6,Sunday,18,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-23,18:50,23,50,2019-06-23 18:50:00,FALSE
40,I192047733,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-23 18:50,2019,6,Sunday,18,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-23,18:50,23,50,2019-06-23 18:50:00,FALSE
41,I192047465,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-22 19:10,2019,6,Saturday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,19:10,22,10,2019-06-22 19:10:00,FALSE
42,I192047472,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-22 18:13,2019,6,Saturday,18,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,18:13,22,13,2019-06-22 18:13:00,FALSE
43,I192047472,1874,Drug Violation,DRUGS - OTHER,A1,111,,2019-06-22 18:13,2019,6,Saturday,18,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,18:13,22,13,2019-06-22 18:13:00,FALSE
44,I192047472,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-06-22 18:13,2019,6,Saturday,18,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,18:13,22,13,2019-06-22 18:13:00,FALSE
45,I192047453,3115,Investigate Person,INVESTIGATE PERSON,A1,111,,2019-06-22 17:46,2019,6,Saturday,17,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,17:46,22,46,2019-06-22 17:46:00,FALSE
46,I192047471,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-06-22 17:40,2019,6,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,17:40,22,40,2019-06-22 17:40:00,FALSE
47,I192047471,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-06-22 17:40,2019,6,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-22,17:40,22,40,2019-06-22 17:40:00,FALSE
48,I192046904,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-06-20 19:41,2019,6,Thursday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-20,19:41,20,41,2019-06-20 19:41:00,FALSE
49,I192047482,2604,Other,EXTORTION OR BLACKMAIL,A1,111,,2019-06-16 12:00,2019,6,Sunday,12,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-16,12:00,16,0,2019-06-16 12:00:00,FALSE
50,I192044529,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,111,,2019-06-11 13:15,2019,6,Tuesday,13,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-11,13:15,11,15,2019-06-11 13:15:00,FALSE
51,I192043795,2610,Other,TRESPASSING,A1,111,,2019-06-10 9:59,2019,6,Monday,9,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-10,9:59,10,59,2019-06-10 09:59:00,FALSE
52,I192043540,3410,Towed,TOWED MOTOR VEHICLE,A1,111,,2019-06-09 9:00,2019,6,Sunday,9,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-09,9:00,9,0,2019-06-09 09:00:00,FALSE
53,I192043358,311,Robbery,ROBBERY - COMMERCIAL,A1,111,,2019-06-08 16:10,2019,6,Saturday,16,Part One,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-08,16:10,8,10,2019-06-08 16:10:00,FALSE
54,I192042997,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-06-07 12:42,2019,6,Friday,12,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-07,12:42,7,42,2019-06-07 12:42:00,FALSE
55,I192042694,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,111,,2019-06-06 14:22,2019,6,Thursday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-06,14:22,6,22,2019-06-06 14:22:00,FALSE
56,I192042390,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-06-05 15:45,2019,6,Wednesday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-05,15:45,5,45,2019-06-05 15:45:00,FALSE
57,I192042390,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-06-05 15:45,2019,6,Wednesday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-06-05,15:45,5,45,2019-06-05 15:45:00,FALSE
58,I192039650,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,111,,2019-05-27 12:50,2019,5,Monday,12,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-27,12:50,27,50,2019-05-27 12:50:00,FALSE
59,I192039650,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A1,111,,2019-05-27 12:50,2019,5,Monday,12,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-27,12:50,27,50,2019-05-27 12:50:00,FALSE
60,I192039650,2660,Other,OTHER OFFENSE,A1,111,,2019-05-27 12:50,2019,5,Monday,12,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-27,12:50,27,50,2019-05-27 12:50:00,FALSE
61,I192039484,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-05-26 20:29,2019,5,Sunday,20,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-26,20:29,26,29,2019-05-26 20:29:00,FALSE
62,I192039078,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A1,111,,2019-05-25 2:24,2019,5,Saturday,2,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-25,2:24,25,24,2019-05-25 02:24:00,FALSE
63,I192038569,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-05-23 7:30,2019,5,Thursday,7,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-23,7:30,23,30,2019-05-23 07:30:00,FALSE
64,I192038569,1870,Drug Violation,DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE,A1,111,,2019-05-23 7:30,2019,5,Thursday,7,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-23,7:30,23,30,2019-05-23 07:30:00,FALSE
65,I192038569,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-05-23 7:30,2019,5,Thursday,7,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-23,7:30,23,30,2019-05-23 07:30:00,FALSE
66,I192038407,1402,Vandalism,VANDALISM,A1,111,,2019-05-23 6:32,2019,5,Thursday,6,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-23,6:32,23,32,2019-05-23 06:32:00,FALSE
67,I192037167,617,Larceny,LARCENY THEFT FROM BUILDING,A1,111,,2019-05-18 22:05,2019,5,Saturday,22,Part One,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-18,22:05,18,5,2019-05-18 22:05:00,FALSE
68,I192035269,617,Larceny,LARCENY THEFT FROM BUILDING,A1,111,,2019-05-12 14:13,2019,5,Sunday,14,Part One,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-12,14:13,12,13,2019-05-12 14:13:00,FALSE
69,I192034495,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-05-09 18:36,2019,5,Thursday,18,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-09,18:36,9,36,2019-05-09 18:36:00,FALSE
70,I192034475,2660,Other,OTHER OFFENSE,A1,111,,2019-05-09 17:00,2019,5,Thursday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-09,17:00,9,0,2019-05-09 17:00:00,FALSE
71,I192034475,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-05-09 17:00,2019,5,Thursday,17,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-09,17:00,9,0,2019-05-09 17:00:00,FALSE
72,I192034475,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,111,,2019-05-09 17:00,2019,5,Thursday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-09,17:00,9,0,2019-05-09 17:00:00,FALSE
73,I192033517,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",A1,111,,2019-05-06 17:08,2019,5,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-06,17:08,6,8,2019-05-06 17:08:00,FALSE
74,I192033517,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,111,,2019-05-06 17:08,2019,5,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-06,17:08,6,8,2019-05-06 17:08:00,FALSE
75,I192033517,2610,Other,TRESPASSING,A1,111,,2019-05-06 17:08,2019,5,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-06,17:08,6,8,2019-05-06 17:08:00,FALSE
76,I192033000,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-05-04 17:30,2019,5,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-04,17:30,4,30,2019-05-04 17:30:00,FALSE
77,I192033000,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",A1,111,,2019-05-04 17:30,2019,5,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-04,17:30,4,30,2019-05-04 17:30:00,FALSE
78,I192033000,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-05-04 17:30,2019,5,Saturday,17,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-05-04,17:30,4,30,2019-05-04 17:30:00,FALSE
79,I192031596,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-04-29 17:00,2019,4,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-29,17:00,29,0,2019-04-29 17:00:00,FALSE
80,I192031596,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-04-29 17:00,2019,4,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-29,17:00,29,0,2019-04-29 17:00:00,FALSE
81,I192031596,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",A1,111,,2019-04-29 17:00,2019,4,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-29,17:00,29,0,2019-04-29 17:00:00,FALSE
82,I192031596,2610,Other,TRESPASSING,A1,111,,2019-04-29 17:00,2019,4,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-29,17:00,29,0,2019-04-29 17:00:00,FALSE
83,I192031596,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-04-29 17:00,2019,4,Monday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-29,17:00,29,0,2019-04-29 17:00:00,FALSE
84,I192030090,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,111,,2019-04-24 11:25,2019,4,Wednesday,11,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-24,11:25,24,25,2019-04-24 11:25:00,FALSE
85,I192028374,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-04-17 18:45,2019,4,Wednesday,18,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-17,18:45,17,45,2019-04-17 18:45:00,FALSE
86,I192028374,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-04-17 18:45,2019,4,Wednesday,18,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-17,18:45,17,45,2019-04-17 18:45:00,FALSE
87,I192026562,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-04-10 22:12,2019,4,Wednesday,22,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-10,22:12,10,12,2019-04-10 22:12:00,FALSE
88,I192026562,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-04-10 22:12,2019,4,Wednesday,22,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-04-10,22:12,10,12,2019-04-10 22:12:00,FALSE
89,I192023171,2905,Violations,VAL - OPERATING WITHOUT LICENSE,A1,111,,2019-03-29 17:40,2019,3,Friday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-03-29,17:40,29,40,2019-03-29 17:40:00,FALSE
90,I192023171,724,Auto Theft,AUTO THEFT,A1,111,,2019-03-29 17:40,2019,3,Friday,17,Part One,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-03-29,17:40,29,40,2019-03-29 17:40:00,FALSE
91,I192020780,2647,Other,THREATS TO DO BODILY HARM,A1,111,,2019-03-20 20:00,2019,3,Wednesday,20,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-03-20,20:00,20,0,2019-03-20 20:00:00,FALSE
92,I192010618,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-02-09 17:30,2019,2,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-02-09,17:30,9,30,2019-02-09 17:30:00,FALSE
93,I192010618,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-02-09 17:30,2019,2,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-02-09,17:30,9,30,2019-02-09 17:30:00,FALSE
94,I192010618,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,111,,2019-02-09 17:30,2019,2,Saturday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-02-09,17:30,9,30,2019-02-09 17:30:00,FALSE
95,I192008541,2905,Violations,VAL - OPERATING WITHOUT LICENSE,A1,111,,2019-02-01 17:45,2019,2,Friday,17,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-02-01,17:45,1,45,2019-02-01 17:45:00,FALSE
