INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM,FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
I192072923,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,131,,2019-09-11 15:00,2019,9,Wednesday,15,Part Three,CLARENDON ST,42.35402284,-71.0768631,"(42.35402284, -71.07686310)",2019-09-11,15:00:00,11,0,2019-09-11 15:00,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192059346,3125,Warrant Arrests,WARRANT ARREST,D4,131,,2019-07-31 14:03,2019,7,Wednesday,14,Part Three,BEACON ST,42.35423003,-71.07696583,"(42.35423003, -71.07696583)",2019-07-31,14:03:00,31,3,2019-07-31 14:03,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192059346,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,131,,2019-07-31 14:03,2019,7,Wednesday,14,Part Two,BEACON ST,42.35423003,-71.07696583,"(42.35423003, -71.07696583)",2019-07-31,14:03:00,31,3,2019-07-31 14:03,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
192093112,3410,,TOWED MOTOR VEHICLE,D4,131,0,2019-11-17 12:17,2019,11,Sunday,12,,BEACON ST,42.354519,-71.07588,"(42.35451900, -71.07588000)",2019-11-17,12:17:00,17,17,2019-11-17 12:17,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192054686,1402,Vandalism,VANDALISM,D4,131,,2019-07-16 10:04,2019,7,Tuesday,10,Part Two,BEACON ST,42.35451931,-71.07588082,"(42.35451931, -71.07588082)",2019-07-16,10:04:00,16,4,2019-07-16 10:04,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192054686,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,131,,2019-07-16 10:04,2019,7,Tuesday,10,Part One,BEACON ST,42.35451931,-71.07588082,"(42.35451931, -71.07588082)",2019-07-16,10:04:00,16,4,2019-07-16 10:04,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192045116,3410,Towed,TOWED MOTOR VEHICLE,D4,131,,2019-06-14 11:43,2019,6,Friday,11,Part Three,BEACON ST,42.35451931,-71.07588082,"(42.35451931, -71.07588082)",2019-06-14,11:43:00,14,43,2019-06-14 11:43,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192040539,3410,Towed,TOWED MOTOR VEHICLE,D4,131,,2019-05-30 14:32,2019,5,Thursday,14,Part Three,BEACON ST,42.35451931,-71.07588082,"(42.35451931, -71.07588082)",2019-05-30,14:32:00,30,32,2019-05-30 14:32,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192040450,3410,Towed,TOWED MOTOR VEHICLE,D4,131,,2019-05-30 9:42,2019,5,Thursday,9,Part Three,BEACON ST,42.35451931,-71.07588082,"(42.35451931, -71.07588082)",2019-05-30,9:42:00,30,42,2019-05-30 9:42,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192023147,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,130,,2019-02-26 14:55,2019,2,Tuesday,14,Part Two,DARTMOUTH ST,42.34968872,-71.07711256,"(42.34968872, -71.07711256)",2019-02-26,14:55:00,26,55,2019-02-26 14:55,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192070235,616,Larceny,LARCENY THEFT OF BICYCLE,D4,134,,2019-09-03 12:00,2019,9,Tuesday,12,Part One,BOYLSTON ST,42.35009599,-71.0773211,"(42.35009599, -71.07732110)",2019-09-03,12:00:00,3,0,2019-09-03 12:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192033708,3201,Property Lost,PROPERTY - LOST,D4,134,,2019-05-06 10:00,2019,5,Monday,10,Part Three,BOYLSTON ST,42.35009599,-71.0773211,"(42.35009599, -71.07732110)",2019-05-06,10:00:00,6,0,2019-05-06 10:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192052543,3125,Warrant Arrests,WARRANT ARREST,D4,130,,2019-07-09 11:37,2019,7,Tuesday,11,Part Three,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)",2019-07-09,11:37:00,9,37,2019-07-09 11:37,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192021628,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,134,,2019-03-24 13:00,2019,3,Sunday,13,Part Two,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)",2019-03-24,13:00:00,24,0,2019-03-24 13:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192048589,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,137,,2019-06-26 12:44,2019,6,Wednesday,12,Part Two,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2019-06-26,12:44:00,26,44,2019-06-26 12:44,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192036389,3115,Investigate Person,INVESTIGATE PERSON,D4,138,,2019-05-16 11:29,2019,5,Thursday,11,Part Three,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2019-05-16,11:29:00,16,29,2019-05-16 11:29,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192033723,3115,Investigate Person,INVESTIGATE PERSON,D4,138,,2019-05-07 12:21,2019,5,Tuesday,12,Part Three,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2019-05-07,12:21:00,7,21,2019-05-07 12:21,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192025853,801,Simple Assault,ASSAULT - SIMPLE,D4,137,,2019-04-08 10:00,2019,4,Monday,10,Part Two,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2019-04-08,10:00:00,8,0,2019-04-08 10:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192010970,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,138,,2019-02-08 10:47,2019,2,Friday,10,Part Two,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2019-02-08,10:47:00,8,47,2019-02-08 10:47,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192010983,2401,Disorderly Conduct,AFFRAY,D4,138,,2019-02-08 10:45,2019,2,Friday,10,Part Two,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)",2019-02-08,10:45:00,8,45,2019-02-08 10:45,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192041382,3202,Property Found,PROPERTY - LOST THEN LOCATED,D4,134,,2019-06-02 12:31,2019,6,Sunday,12,Part Three,BOYLSTON ST,42.35067063,-71.07520557,"(42.35067063, -71.07520557)",2019-06-02,12:31:00,2,31,2019-06-02 12:31,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192041382,3207,Property Found,PROPERTY - FOUND,D4,134,,2019-06-02 12:31,2019,6,Sunday,12,Part Three,BOYLSTON ST,42.35067063,-71.07520557,"(42.35067063, -71.07520557)",2019-06-02,12:31:00,2,31,2019-06-02 12:31,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192052590,3115,Investigate Person,INVESTIGATE PERSON,D4,133,,2019-07-09 12:00,2019,7,Tuesday,12,Part Three,DARTMOUTH ST,42.35089055,-71.0777336,"(42.35089055, -71.07773360)",2019-07-09,12:00:00,9,0,2019-07-09 12:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192057796,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,134,,2019-07-26 10:00,2019,7,Friday,10,Part Three,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-07-26,10:00:00,26,0,2019-07-26 10:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192052293,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-07-08 15:30,2019,7,Monday,15,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-07-08,15:30:00,8,30,2019-07-08 15:30,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192045158,616,Larceny,LARCENY THEFT OF BICYCLE,D4,134,,2019-06-14 8:30,2019,6,Friday,8,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-06-14,8:30:00,14,30,2019-06-14 8:30,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192041405,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-06-02 13:46,2019,6,Sunday,13,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-06-02,13:46:00,2,46,2019-06-02 13:46,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192031809,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,134,,2019-04-30 12:51,2019,4,Tuesday,12,Part Two,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-04-30,12:51:00,30,51,2019-04-30 12:51,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192031809,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-04-30 12:51,2019,4,Tuesday,12,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-04-30,12:51:00,30,51,2019-04-30 12:51,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192017250,3410,Towed,TOWED MOTOR VEHICLE,D4,129,,2019-03-07 21:09,2019,3,Thursday,21,Part Three,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-03-07,21:09:00,7,9,2019-03-07 21:09,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192017110,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2019-03-07 13:23,2019,3,Thursday,13,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-03-07,13:23:00,7,23,2019-03-07 13:23,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192002877,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-01-11 11:23,2019,1,Friday,11,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2019-01-11,11:23:00,11,23,2019-01-11 11:23,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
192081752,613,,LARCENY SHOPLIFTING,D4,134,0,2019-10-09 12:40,2019,10,Wednesday,12,,NEWBURY ST,42.351179,-71.076666,"(42.35117900, -71.07666600)",2019-10-09,12:40:00,9,40,2019-10-09 12:40,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192035504,617,Larceny,LARCENY THEFT FROM BUILDING,D4,133,,2019-05-07 18:00,2019,5,Tuesday,18,Part One,NEWBURY ST,42.35118005,-71.07666607,"(42.35118005, -71.07666607)",2019-05-07,18:00:00,7,0,2019-05-07 18:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192032628,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,129,,2019-05-03 12:24,2019,5,Friday,12,Part Three,BERKELEY ST,42.35125126,-71.07305182,"(42.35125126, -71.07305182)",2019-05-03,12:24:00,3,24,2019-05-03 12:24,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192045945,724,Auto Theft,AUTO THEFT,D4,137,,2019-06-10 9:00,2019,6,Monday,9,Part One,COMMONWEALTH AVE,42.35141082,-71.07920855,"(42.35141082, -71.07920855)",2019-06-10,9:00:00,10,0,2019-06-10 9:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192040528,3410,Towed,TOWED MOTOR VEHICLE,D4,137,,2019-05-30 13:19,2019,5,Thursday,13,Part Three,COMMONWEALTH AVE,42.35141082,-71.07920855,"(42.35141082, -71.07920855)",2019-05-30,13:19:00,30,19,2019-05-30 13:19,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
192087898,3115,,INVESTIGATE PERSON,D4,129,0,2019-10-30 13:13,2019,10,Wednesday,13,,BOYLSTON ST,42.35157,-71.071866,"(42.35157000, -71.07186600)",2019-10-30,13:13:00,30,13,2019-10-30 13:13,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192072188,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,134,,2019-09-09 12:54,2019,9,Monday,12,Part Two,BOYLSTON ST,42.35157076,-71.07186599,"(42.35157076, -71.07186599)",2019-09-09,12:54:00,9,54,2019-09-09 12:54,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192049673,3410,Towed,TOWED MOTOR VEHICLE,D4,129,,2019-06-29 17:27,2019,6,Saturday,17,Part Three,BOYLSTON ST,42.35157076,-71.07186599,"(42.35157076, -71.07186599)",2019-06-29,17:27:00,29,27,2019-06-29 17:27,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192009938,3410,Towed,TOWED MOTOR VEHICLE,D4,136,,2019-02-07 12:18,2019,2,Thursday,12,Part Three,COMMONWEALTH AVE,42.35175254,-71.07939155,"(42.35175254, -71.07939155)",2019-02-07,12:18:00,7,18,2019-02-07 12:18,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
192101110,801,,ASSAULT - SIMPLE,D4,133,0,2019-12-16 11:17,2019,12,Monday,11,,NEWBURY ST,42.351761,-71.074521,"(42.35176100, -71.07452100)",2019-12-16,11:17:00,16,17,2019-12-16 11:17,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192033577,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-05-06 19:23,2019,5,Monday,19,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)",2019-05-06,19:23:00,6,23,2019-05-06 19:23,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192026407,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-04-10 13:04,2019,4,Wednesday,13,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)",2019-04-10,13:04:00,10,4,2019-04-10 13:04,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192002379,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2019-01-09 14:30,2019,1,Wednesday,14,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)",2019-01-09,14:30:00,9,30,2019-01-09 14:30,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192031875,3502,Missing Person Located,MISSING PERSON - LOCATED,D4,133,,2019-04-29 10:00,2019,4,Monday,10,Part Three,NEWBURY ST,42.35237073,-71.07227173,"(42.35237073, -71.07227173)",2019-04-29,10:00:00,29,0,2019-04-29 10:00,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192017607,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,133,,2019-03-09 9:59,2019,3,Saturday,9,Part Three,NEWBURY ST,42.35237073,-71.07227173,"(42.35237073, -71.07227173)",2019-03-09,9:59:00,9,59,2019-03-09 9:59,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192028000,3114,Investigate Property,INVESTIGATE PROPERTY,D4,134,,2019-04-16 10:07,2019,4,Tuesday,10,Part Three,ARLINGTON ST,42.35248907,-71.07099135,"(42.35248907, -71.07099135)",2019-04-16,10:07:00,16,7,2019-04-16 10:07,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192057430,1402,Vandalism,VANDALISM,D4,133,,2019-07-25 9:37,2019,7,Thursday,9,Part Two,COMMONWEALTH AVE,42.3525717,-71.0749163,"(42.35257170, -71.07491630)",2019-07-25,9:37:00,25,37,2019-07-25 9:37,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192057415,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,132,,2019-07-25 8:42,2019,7,Thursday,8,Part Three,COMMONWEALTH AVE,42.35291291,-71.07508901,"(42.35291291, -71.07508901)",2019-07-25,8:42:00,25,42,2019-07-25 8:42,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
I192042614,3410,Towed,TOWED MOTOR VEHICLE,D4,132,,2019-06-06 11:17,2019,6,Thursday,11,Part Three,MARLBOROUGH ST,42.3531455,-71.07763936,"(42.35314550, -71.07763936)",2019-06-06,11:17:00,6,17,2019-06-06 11:17,TRUE,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988
