Customer_No,Customer_Name,Street,Start_date
6040,Feeney Bros Excavation,REVERE ST,2019-07-01
55,Boston Water & Sewer Commission,BARNES AV,2019-07-01
98835,FED CORP,ST ALPHONSUS ST,2019-07-01
103650,ROCHESTER BITUMINOUS PRODUCTS,CEDAR ST,2019-07-01
6562,METRO EQUIPMENT CORP,ORMOND ST,2019-07-01
6316,K & K Excavation Co,FENDALE AV,2019-07-01
6040,Feeney Bros Excavation,MERIDIAN ST,2019-07-01
97297,EVERSOURCE ELECTRIC,WALNUT ST,2019-07-01
97297,EVERSOURCE ELECTRIC,BOYLSTON ST,2019-07-01
2590,SUFFOLK CONSTRUCTION,SUMMER ST,2019-07-01
416,VERIZON,MAIN ST,2019-07-01
97297,EVERSOURCE ELECTRIC,SARGENT ST,2019-07-01
2838,"MORIARTY, JOHN & ASSOC",BEACON ST,2019-07-01
41853,"Phoenix Communications, Inc.",SUMMER ST,2019-07-01
2966,MIDDLESEX CORPORATION,ELECTRIC AV,2019-07-01
2966,MIDDLESEX CORPORATION,GOODENOUGH ST,2019-07-01
81519,CASHMAN DUTRA( JAY CASHMAN),BOSTON HARBOR,2019-07-01
41853,"Phoenix Communications, Inc.",CONGRESS ST,2019-07-01
41853,"Phoenix Communications, Inc.",COMMERCIAL ST,2019-07-01
108191,"NEXT LEVEL ENVIRONMENTAL,LLC",CHAPIN AV,2019-07-01
98928,WESTON & SAMPSON,HEMENWAY ST,2019-07-01
90570,ELECCOMM CORP.,FARGO ST,2019-07-01
416,VERIZON,RAYMOND ST,2019-07-01
6040,Feeney Bros Excavation,BEACON ST,2019-07-01
396,National Grid,FANEUIL ST,2019-07-01
416,VERIZON,CLAYMOSS RD,2019-07-01
99180,SHEERIN CONSTRUCTION,PETERBOROUGH ST,2019-07-01
7389,MIRRA COMPANY INCORPORATED,HEMENWAY ST,2019-07-01
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-07-01
97297,EVERSOURCE ELECTRIC,HYDE PARK AV,2019-07-01
6040,Feeney Bros Excavation,EDSON ST,2019-07-01
97297,EVERSOURCE ELECTRIC,PALACE RD,2019-07-01
103650,ROCHESTER BITUMINOUS PRODUCTS,GLENWAY ST,2019-07-01
416,VERIZON,P ST,2019-07-01
90570,ELECCOMM CORP.,HUNTINGTON AV,2019-07-01
388,TURNER CONSTRUCTION CO,WESTERN AV,2019-07-01
2590,SUFFOLK CONSTRUCTION,SHAWMUT AV,2019-07-01
29264,LIVE NATION - DON LAW COMPANY,FENWAY,2019-07-01
7325,Consigli Construction Co Inc,TEMPLE ST,2019-07-01
2590,SUFFOLK CONSTRUCTION,E DEDHAM ST,2019-07-01
396,National Grid,E COTTAGE ST,2019-07-01
6040,Feeney Bros Excavation,BERKELEY ST,2019-07-01
102987,ATLANTIC COAST UTILITIES,E 4TH ST,2019-07-01
103799,ROSCITI CONSTRUCTION,P ST,2019-07-01
104322,TOCCI BUILDING CO,WAREHAM ST,2019-07-01
6040,Feeney Bros Excavation,A ST,2019-07-01
396,National Grid,BLUE HILL AV,2019-07-01
7389,MIRRA COMPANY INCORPORATED,WASHINGTON ST,2019-07-01
13165,"SUSI ,MARIO & SON",CENTRE ST,2019-07-01
98907,PV BARONE CONSTRUCTION,BLUE HILL AV,2019-07-01
381,Lee Kennedy Co,STANIFORD ST,2019-07-01
5544,BILT RITE CONSTRUCTION,OCONNOR WY,2019-07-01
2838,"MORIARTY, JOHN & ASSOC",OLIVER ST,2019-07-01
98849,RAPID FLOW INCORPORATED,HAMPSTEAD RD,2019-07-01
81117,ADVANCED WATER & SEWER C/O FRED WILLIAMSON,THORNTON ST,2019-07-01
6040,Feeney Bros Excavation,NEWBURY ST,2019-07-01
6040,Feeney Bros Excavation,WHITE ST,2019-07-01
105062,DEKON LP,HICHBORN ST,2019-07-01
86399,Holland Construction,COMMONWEALTH AV,2019-07-01
2838,"MORIARTY, JOHN & ASSOC",CONGRESS ST,2019-07-01
381,Lee Kennedy Co,TREMONT ST,2019-07-01
87088,"Celiberti Realty, LLC",ROXBURY ST,2019-07-01
7371,Lorusso Corporation,POND ST,2019-07-01
90570,ELECCOMM CORP.,D ST,2019-07-01
33958,"Belli,A R",ST BOTOLPH ST,2019-07-01
97297,EVERSOURCE ELECTRIC,COMMONWEALTH AV,2019-07-01
8641,EVERSOURCE GAS,BELNEL RD,2019-07-01
7389,MIRRA COMPANY INCORPORATED,WESTLAND AV,2019-07-01
6562,METRO EQUIPMENT CORP,HARVARD ST,2019-07-01
6123,"GEO LOGIC EARTH EXPLORATION, INC.",ROGERS ST,2019-07-01
40878,COMMODORE BUILDERS,COLUMBIA RD,2019-07-01
7325,Consigli Construction Co Inc,FRANCIS ST,2019-07-01
97297,EVERSOURCE ELECTRIC,SPRINGER ST,2019-07-01
97297,EVERSOURCE ELECTRIC,FARGO ST,2019-07-01
7484,HERITAGE FLAG,CLARENDON ST,2019-07-01
416,VERIZON,MASSACHUSETTS AV,2019-07-01
416,VERIZON,CONGRESS ST,2019-07-01
97297,EVERSOURCE ELECTRIC,BEACON ST,2019-07-01
100833,B & M RESTORATION,SUMNER ST,2019-07-01
384,SHAWMUT DESIGN & CONSTRUCTION,E NEWTON ST,2019-07-01
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,ADAMS ST,2019-07-01
2687,LENDLEASE,LEWIS ST,2019-07-01
98849,RAPID FLOW INCORPORATED,COLUMBIA RD,2019-07-01
6040,Feeney Bros Excavation,E 8TH ST,2019-07-01
101935,WSP SELLS,ATHENS ST,2019-07-01
6040,Feeney Bros Excavation,VALLEY RD,2019-07-01
416,VERIZON,F ST,2019-07-01
97297,EVERSOURCE ELECTRIC,E ST,2019-07-01
416,VERIZON,PAPPAS WY,2019-07-01
97297,EVERSOURCE ELECTRIC,DORCHESTER AV,2019-07-01
98918,MSR UTILITY,SUMMER ST,2019-07-01
396,National Grid,COFFEY ST,2019-07-01
416,VERIZON,W 4TH ST,2019-07-01
2687,LENDLEASE,CLIPPER SHIP LA,2019-07-01
55,Boston Water & Sewer Commission,COLEMAN ST,2019-07-01
95347,VEOLIA ENERGY,SUMMER ST,2019-07-01
97297,EVERSOURCE ELECTRIC,CHARLES ST,2019-07-01
13165,"SUSI ,MARIO & SON",MAXWELL ST,2019-07-01
99180,SHEERIN CONSTRUCTION,FRANKLIN ST,2019-07-01
19245,Maverick Construction,CONGRESS ST,2019-07-01
416,VERIZON,TURNER ST,2019-07-01
396,National Grid,AVERTON ST,2019-07-01
95497,RJV CONSTRUCTION CORP.,GARDNER ST,2019-07-01
30288,Cranshaw Construction,S HUNTINGTON AV,2019-07-01
6040,Feeney Bros Excavation,BINFORD ST,2019-07-01
2838,"MORIARTY, JOHN & ASSOC",E SERVICE RD,2019-07-01
99163,BPD - BOSTON POLICE DEPARTMENT - B.F.S.,SCHROEDER PLAZA,2019-07-01
6040,Feeney Bros Excavation,BROOKS ST,2019-07-01
970,ACME WATERPROOFING CO,STATE ST,2019-07-01
7389,MIRRA COMPANY INCORPORATED,COLUMBIA RD,2019-07-01
388,TURNER CONSTRUCTION CO,E SERVICE RD,2019-07-01
99180,SHEERIN CONSTRUCTION,ARCH ST,2019-07-01
97297,EVERSOURCE ELECTRIC,CONDOR ST,2019-07-01
95347,VEOLIA ENERGY,STATE ST,2019-07-01
53136,"NEI - NORTHEAST INTERIORS, INC",BLUE HILL AV,2019-07-01
7325,Consigli Construction Co Inc,WARREN ST,2019-07-01
7389,MIRRA COMPANY INCORPORATED,WARREN ST,2019-07-01
104488,CROWN CASTLE,OLD COLONY AV,2019-07-01
396,National Grid,PARK ST,2019-07-01
416,VERIZON,COMMONWEALTH AV,2019-07-01
97297,EVERSOURCE ELECTRIC,DIX ST,2019-07-01
53136,"NEI - NORTHEAST INTERIORS, INC",ROXBURY ST,2019-07-01
392,BOND BROTHERS,WESTERN AV,2019-07-01
103943,NEW BOSTON BUILDERS,WARD ST,2019-07-01
20787,"BOTTI, JOSEPH CO. INC",OLEARY WY,2019-07-01
53136,"NEI - NORTHEAST INTERIORS, INC",SEAVER ST,2019-07-01
2838,"MORIARTY, JOHN & ASSOC",NEW CHARDON ST,2019-07-01
2602,TISHMAN CONSTRUCTION CORP,LOMASNEY WY,2019-07-02
7389,MIRRA COMPANY INCORPORATED,SUMMER ST,2019-07-02
97297,EVERSOURCE ELECTRIC,BENNINGTON ST,2019-07-02
73607,"DELLORUSSO,MICHAEL",NORTH ST,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",CAUSEWAY ST,2019-07-02
6040,Feeney Bros Excavation,SARATOGA ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,BOYLSTON ST,2019-07-02
396,National Grid,WASHINGTON ST,2019-07-02
5925,"DERENZO,J CO",SUDBURY ST,2019-07-02
6040,Feeney Bros Excavation,REVERE ST,2019-07-02
416,VERIZON,CHELSEA ST,2019-07-02
416,VERIZON,9TH ST,2019-07-02
7325,Consigli Construction Co Inc,TEMPLE ST,2019-07-02
90255,DELPHI CONSTRUCTION,BURNETT ST,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",CONGRESS ST,2019-07-02
6040,Feeney Bros Excavation,VERMONT ST,2019-07-02
55,Boston Water & Sewer Commission,EASTMAN ST,2019-07-02
396,National Grid,BLUE HILL AV,2019-07-02
5544,BILT RITE CONSTRUCTION,ROXBURY ST,2019-07-02
7389,MIRRA COMPANY INCORPORATED,HAMPDEN ST,2019-07-02
6040,Feeney Bros Excavation,CUMMINS HY,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",NEW CHARDON ST,2019-07-02
55,Boston Water & Sewer Commission,ANAWAN AV,2019-07-02
13165,"SUSI ,MARIO & SON",CENTRE ST,2019-07-02
7389,MIRRA COMPANY INCORPORATED,MASSACHUSETTS AV,2019-07-02
2966,MIDDLESEX CORPORATION,GOODENOUGH ST,2019-07-02
2966,MIDDLESEX CORPORATION,ELECTRIC AV,2019-07-02
5940,DIMEO CONSTRUCTION,WASHINGTON ST,2019-07-02
13165,"SUSI ,MARIO & SON",SAVIN HILL AV,2019-07-02
16377,GILBANE BUILDING CO,BERKELEY ST,2019-07-02
416,VERIZON,N HARVARD ST,2019-07-02
99180,SHEERIN CONSTRUCTION,PETERBOROUGH ST,2019-07-02
98850,RILEY BROTHERS INC,BOYLSTON ST,2019-07-02
102259,RELATED BEAL,HARRISON AV,2019-07-02
29054,SEA-DAR CONSTRUCTION,MARLBOROUGH ST,2019-07-02
7062,SUFFOLK ENGINEERING,MARLBOROUGH ST,2019-07-02
396,National Grid,MAPLETON ST,2019-07-02
392,BOND BROTHERS,WESTERN AV,2019-07-02
8641,EVERSOURCE GAS,RIVER ST,2019-07-02
97297,EVERSOURCE ELECTRIC,BROOKSTONE ST,2019-07-02
396,National Grid,LASELL ST,2019-07-02
6040,Feeney Bros Excavation,SPRING ST,2019-07-02
95497,RJV CONSTRUCTION CORP.,GARDNER ST,2019-07-02
6040,Feeney Bros Excavation,MCBRIDE ST,2019-07-02
20787,"BOTTI, JOSEPH CO. INC",OLEARY WY,2019-07-02
43814,Barletta Engineering Corp,ARBORWAY,2019-07-02
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-07-02
396,National Grid,ROXBURY ST,2019-07-02
388,TURNER CONSTRUCTION CO,E SERVICE RD,2019-07-02
49476,NATIONAL WATER MAIN CLEANING CO,WOODROW AV,2019-07-02
99180,SHEERIN CONSTRUCTION,HUTCHINGS ST,2019-07-02
55,Boston Water & Sewer Commission,W WALNUT PK,2019-07-02
6040,Feeney Bros Excavation,SOUTHMERE RD,2019-07-02
53136,"NEI - NORTHEAST INTERIORS, INC",SEAVER ST,2019-07-02
416,VERIZON,NORFOLK ST,2019-07-02
41853,"Phoenix Communications, Inc.",W EIGHTH ST,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",WASHINGTON ST,2019-07-02
100008,MIDWAY UTILITY CONTRACTORS LLC,SHAWMUT AV,2019-07-02
2590,SUFFOLK CONSTRUCTION,SUMMER ST,2019-07-02
30288,Cranshaw Construction,SUMMER ST,2019-07-02
21133,D'Allessandro Corp,HARRISON AV,2019-07-02
103650,ROCHESTER BITUMINOUS PRODUCTS,FARRAGUT RD,2019-07-02
6040,Feeney Bros Excavation,BROOKS ST,2019-07-02
7371,Lorusso Corporation,GUILD ST,2019-07-02
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,NORFOLK ST,2019-07-02
6040,Feeney Bros Excavation,BINFORD ST,2019-07-02
98907,PV BARONE CONSTRUCTION,GRANITE AV,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",COLUMBUS AV,2019-07-02
33958,"Belli,A R",ST BOTOLPH ST,2019-07-02
6040,Feeney Bros Excavation,MARLBOROUGH ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,E NEWTON ST,2019-07-02
49476,NATIONAL WATER MAIN CLEANING CO,L ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,E DEDHAM ST,2019-07-02
103799,ROSCITI CONSTRUCTION,P ST,2019-07-02
96572,HAYCON LLC,HANCOCK ST,2019-07-02
6141,"GIOIOSO, P & SONS INC",DANA AV,2019-07-02
66375,BUILDING RESTORATION SERVICES CORP,COMMERCIAL ST,2019-07-02
396,National Grid,CAMBRIDGE ST,2019-07-02
6040,Feeney Bros Excavation,DARTMOUTH ST,2019-07-02
87088,"Celiberti Realty, LLC",ROXBURY ST,2019-07-02
6040,Feeney Bros Excavation,E ST,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",BEACON ST,2019-07-02
95347,VEOLIA ENERGY,SUMMER ST,2019-07-02
102987,ATLANTIC COAST UTILITIES,E 4TH ST,2019-07-02
87768,CEDARWOOD DEVELOPMENT,DORCHESTER AV,2019-07-02
40878,COMMODORE BUILDERS,AMORY ST,2019-07-02
384,SHAWMUT DESIGN & CONSTRUCTION,AMORY ST,2019-07-02
41853,"Phoenix Communications, Inc.",BEACON ST,2019-07-02
95347,VEOLIA ENERGY,STATE ST,2019-07-02
6562,METRO EQUIPMENT CORP,BURTON ST,2019-07-02
396,National Grid,PARAGON RD,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",LIFE ST,2019-07-02
6040,Feeney Bros Excavation,SOUTH ST,2019-07-02
7389,MIRRA COMPANY INCORPORATED,COMMERCIAL ST,2019-07-02
55,Boston Water & Sewer Commission,LAMARTINE ST,2019-07-02
396,National Grid,BAILEY ST,2019-07-02
102787,MCGUE EXCAVATING,NEPONSET AV,2019-07-02
6040,Feeney Bros Excavation,E 8TH ST,2019-07-02
6123,"GEO LOGIC EARTH EXPLORATION, INC.",ROGERS ST,2019-07-02
381,Lee Kennedy Co,STANIFORD ST,2019-07-02
416,VERIZON,CONGRESS ST,2019-07-02
416,VERIZON,BOYLSTON ST,2019-07-02
97297,EVERSOURCE ELECTRIC,SPRINGER ST,2019-07-02
6040,Feeney Bros Excavation,WHITE ST,2019-07-02
6040,Feeney Bros Excavation,VALLEY RD,2019-07-02
97297,EVERSOURCE ELECTRIC,JOY ST,2019-07-02
101501,J LEE ASSOCIATES,DORCHESTER ST,2019-07-02
2687,LENDLEASE,LEWIS ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,VALLAR RD,2019-07-02
416,VERIZON,MERIDIAN ST,2019-07-02
416,VERIZON,SULLIVAN ST,2019-07-02
6040,Feeney Bros Excavation,CONGRESS ST,2019-07-02
100833,B & M RESTORATION,SUMNER ST,2019-07-02
98613,"Albanese D & S, Inc",FALCON ST,2019-07-02
97681,Mass DOT,CITY SQ,2019-07-02
416,VERIZON,P ST,2019-07-02
2838,"MORIARTY, JOHN & ASSOC",MILK ST,2019-07-02
98849,RAPID FLOW INCORPORATED,COLUMBIA RD,2019-07-02
97297,EVERSOURCE ELECTRIC,E 1ST ST,2019-07-02
104488,CROWN CASTLE,DORCHESTER AV,2019-07-02
2590,SUFFOLK CONSTRUCTION,FEDERAL ST,2019-07-02
2602,TISHMAN CONSTRUCTION CORP,SUDBURY ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,DEVONSHIRE ST,2019-07-02
41853,"Phoenix Communications, Inc.",MELCHER ST,2019-07-02
97297,EVERSOURCE ELECTRIC,E 3RD ST,2019-07-02
98613,"Albanese D & S, Inc",BROOKS ST,2019-07-02
2873,JF WHITE CONTRACTING CO,N WASHINGTON ST,2019-07-02
970,ACME WATERPROOFING CO,STATE ST,2019-07-02
41853,"Phoenix Communications, Inc.",WASHINGTON ST,2019-07-02
7389,MIRRA COMPANY INCORPORATED,STANIFORD ST,2019-07-02
381,Lee Kennedy Co,OCONNELL WY,2019-07-02
416,VERIZON,WASHINGTON ST,2019-07-02
6040,Feeney Bros Excavation,WESTERN AV,2019-07-02
416,VERIZON,GORDON ST,2019-07-02
97454,CALEDONIA CONSTRUCTION,CAMBRIDGE ST,2019-07-02
396,National Grid,BEECH ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,HIGH ST,2019-07-02
7389,MIRRA COMPANY INCORPORATED,DORCHESTER ST,2019-07-02
6316,K & K Excavation Co,FENDALE AV,2019-07-02
99180,SHEERIN CONSTRUCTION,BEACH ST,2019-07-02
6562,METRO EQUIPMENT CORP,HARVARD ST,2019-07-02
53136,"NEI - NORTHEAST INTERIORS, INC",BLUE HILL AV,2019-07-02
98907,PV BARONE CONSTRUCTION,BLUE HILL AV,2019-07-02
7389,MIRRA COMPANY INCORPORATED,MITCHELL ST,2019-07-02
58431,Build Out Construction,HANOVER ST,2019-07-02
2590,SUFFOLK CONSTRUCTION,DALTON ST,2019-07-02
99180,SHEERIN CONSTRUCTION,RIVER ST,2019-07-02
99310,ESI ADVANCED WIRELESS NETWORKS,ARLINGTON ST,2019-07-02
40273,Brooksdale Construction,STANDARD ST,2019-07-02
99180,SHEERIN CONSTRUCTION,CHESTNUT HILL AV,2019-07-02
416,VERIZON,SAUNDERS ST,2019-07-02
86399,Holland Construction,W CANTON ST,2019-07-02
97297,EVERSOURCE ELECTRIC,BOYLSTON ST,2019-07-02
29264,LIVE NATION - DON LAW COMPANY,FENWAY,2019-07-02
104322,TOCCI BUILDING CO,WAREHAM ST,2019-07-02
97297,EVERSOURCE ELECTRIC,HARVARD AV,2019-07-02
6040,Feeney Bros Excavation,PARK ST,2019-07-02
30288,Cranshaw Construction,S HUNTINGTON AV,2019-07-02
6040,Feeney Bros Excavation,CENTRE ST,2019-07-02
7377,Maltby & Company Inc,PERTHSHIRE RD,2019-07-02
5544,BILT RITE CONSTRUCTION,OCONNOR WY,2019-07-02
99163,BPD - BOSTON POLICE DEPARTMENT - B.F.S.,SCHROEDER PLAZA,2019-07-02
6040,Feeney Bros Excavation,HUNTINGTON AV,2019-07-02
6040,Feeney Bros Excavation,BELVIDERE ST,2019-07-02
388,TURNER CONSTRUCTION CO,WESTERN AV,2019-07-02
19245,Maverick Construction,W EIGHTH ST,2019-07-02
6040,Feeney Bros Excavation,BRIMMER ST,2019-07-02
396,National Grid,BROOKFIELD ST,2019-07-02
7325,Consigli Construction Co Inc,FRANCIS ST,2019-07-02
81519,CASHMAN DUTRA( JAY CASHMAN),BOSTON HARBOR,2019-07-02
97297,EVERSOURCE ELECTRIC,COLUMBIA RD,2019-07-02
97297,EVERSOURCE ELECTRIC,HYDE PARK AV,2019-07-02
103650,ROCHESTER BITUMINOUS PRODUCTS,MANSFIELD ST,2019-07-02
103085,REYNOLDS CONSTRUCTION,WASHINGTON ST,2019-07-02
381,Lee Kennedy Co,STUART ST,2019-07-02
5544,BILT RITE CONSTRUCTION,HYDE PARK AV,2019-07-02
25425,G GREENE CONSTRUCTION,CONGRESS ST,2019-07-02
98918,MSR UTILITY,BERKELEY ST,2019-07-02
45146,FRED DEROMA & SONS,D ST,2019-07-02
45146,FRED DEROMA & SONS,MERCER ST,2019-07-02
416,VERIZON,HOBSON ST,2019-07-02
55,Boston Water & Sewer Commission,WASHINGTON ST,2019-07-02
46429,"ASPHALT SERVICES, INC.",COMMONWEALTH AV,2019-07-02
49,CITY OF BOSTON - PWD (VOUCHER) RESURFACING CONTRACTS,DUNBAR AV,2019-07-02
55,Boston Water & Sewer Commission,BIRD ST,2019-07-02
55,Boston Water & Sewer Commission,PARKER ST,2019-07-02
6040,Feeney Bros Excavation,DUDLEY ST,2019-07-02
97297,EVERSOURCE ELECTRIC,BEACON ST,2019-07-02
25425,G GREENE CONSTRUCTION,FARRAGUT RD,2019-07-02
381,Lee Kennedy Co,TREMONT ST,2019-07-02
53136,"NEI - NORTHEAST INTERIORS, INC",CHENEY ST,2019-07-02
101019,PIERCE PROPERTY SERVICES,MELCHER ST,2019-07-02
40878,COMMODORE BUILDERS,COLUMBIA RD,2019-07-02
99310,ESI ADVANCED WIRELESS NETWORKS,CROSS ST,2019-07-02
7389,MIRRA COMPANY INCORPORATED,EUSTIS ST,2019-07-02
97297,EVERSOURCE ELECTRIC,CHARLES ST,2019-07-02
41853,"Phoenix Communications, Inc.",COMMERCIAL ST,2019-07-02
6669,New Hampshire Boring,RUTHERFORD AV,2019-07-02
2687,LENDLEASE,CLIPPER SHIP LA,2019-07-02
396,National Grid,BEECH ST,2019-07-03
8641,EVERSOURCE GAS,METROPOLITAN AV,2019-07-03
20787,"BOTTI, JOSEPH CO. INC",OLEARY WY,2019-07-03
97297,EVERSOURCE ELECTRIC,WOODLAWN ST,2019-07-03
55,Boston Water & Sewer Commission,BEECH ST,2019-07-03
71575,"M & X UTILITY COMPANY, INC.",IFFLEY RD,2019-07-03
43814,Barletta Engineering Corp,ARBORWAY,2019-07-03
8641,EVERSOURCE GAS,RIVER ST,2019-07-03
97297,EVERSOURCE ELECTRIC,HYDE PARK AV,2019-07-03
6040,Feeney Bros Excavation,VERMONT ST,2019-07-03
6040,Feeney Bros Excavation,BLUE HILL AV,2019-07-03
396,National Grid,CLIFTON ST,2019-07-03
55,Boston Water & Sewer Commission,STRATTON ST,2019-07-03
6316,K & K Excavation Co,FENDALE AV,2019-07-03
6040,Feeney Bros Excavation,CUMMINS HY,2019-07-03
98850,RILEY BROTHERS INC,BOYLSTON ST,2019-07-03
29264,LIVE NATION - DON LAW COMPANY,FENWAY,2019-07-03
55,Boston Water & Sewer Commission,LEVANT ST,2019-07-03
2838,"MORIARTY, JOHN & ASSOC",COLUMBUS AV,2019-07-03
99180,SHEERIN CONSTRUCTION,COMMONWEALTH AV,2019-07-03
6040,Feeney Bros Excavation,DARTMOUTH ST,2019-07-03
108191,"NEXT LEVEL ENVIRONMENTAL,LLC",RUGGLES ST,2019-07-03
2590,SUFFOLK CONSTRUCTION,DALTON ST,2019-07-03
45146,FRED DEROMA & SONS,MERCER ST,2019-07-03
2838,"MORIARTY, JOHN & ASSOC",CAUSEWAY ST,2019-07-03
2838,"MORIARTY, JOHN & ASSOC",WASHINGTON ST,2019-07-03
416,VERIZON,BURBANK ST,2019-07-03
98850,RILEY BROTHERS INC,BROOKLINE AV,2019-07-03
16377,GILBANE BUILDING CO,BERKELEY ST,2019-07-03
95347,VEOLIA ENERGY,SUMMER ST,2019-07-03
416,VERIZON,GORDON ST,2019-07-03
5940,DIMEO CONSTRUCTION,WASHINGTON ST,2019-07-03
99089,Lewis Tree Service,CANTERBURY ST,2019-07-03
90255,DELPHI CONSTRUCTION,BURNETT ST,2019-07-03
103943,NEW BOSTON BUILDERS,W BROADWAY,2019-07-03
97297,EVERSOURCE ELECTRIC,JOY ST,2019-07-03
99180,SHEERIN CONSTRUCTION,BEACH ST,2019-07-03
41853,"Phoenix Communications, Inc.",ATLANTIC AV,2019-07-03
2602,TISHMAN CONSTRUCTION CORP,SUDBURY ST,2019-07-03
6198,"HARDING,IW CONSTRUCTION",BEACH ST,2019-07-03
19245,Maverick Construction,E 6TH ST,2019-07-03
7389,MIRRA COMPANY INCORPORATED,MITCHELL ST,2019-07-03
416,VERIZON,ORTON MAROTTA WY,2019-07-03
97297,EVERSOURCE ELECTRIC,E 7TH ST,2019-07-03
6040,Feeney Bros Excavation,VALLEY RD,2019-07-03
6040,Feeney Bros Excavation,BINFORD ST,2019-07-03
98849,RAPID FLOW INCORPORATED,D ST,2019-07-03
6040,Feeney Bros Excavation,SARATOGA ST,2019-07-03
97297,EVERSOURCE ELECTRIC,BORDER ST,2019-07-03
