FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length,NUMPOINTS
"155","155","25","025","010600","25025010600","106",Census Tract 106,G5020,S,"339505","0","+42.3476385","-071.0793851",3654163.72559,9947.7809621,621941.6796875,4101.92223923222,"425"
"156","156","25","025","010500","25025010500","105",Census Tract 105,G5020,S,"188533","10075","+42.3445637","-071.0845748",2137658.0481,6497.62739075,363797.64453125,2680.89874959111,"1028"
"157","157","25","025","010300","25025010300","103",Census Tract 103,G5020,S,"509208","0","+42.3394252","-071.1017927",5480700.05737,12328.3476902,932578.81640625,5082.93068865056,"252"
"158","158","25","025","000802","25025000802","8.02",Census Tract 8.02,G5020,S,"977475","0","+42.3568717","-071.1297576",10520753.5886,21233.9746626,1791162.203125,8755.52176385368,"399"
"159","159","25","025","000701","25025000701","7.01",Census Tract 7.01,G5020,S,"230433","0","+42.3469581","-071.1379847",2480202.82886,7182.28223114,422123.6953125,2963.48735197367,"97"
"160","160","25","025","050101","25025050101","501.01",Census Tract 501.01,G5020,S,"299772","184516","+42.3816657","-071.0397908",5212500.36987,11841.1166673,888116.21484375,4888.12046616013,"406"
"161","161","25","025","050901","25025050901","509.01",Census Tract 509.01,G5020,S,"614932","194139","+42.3819368","-071.0295001",8708253.23218,18100.2678784,1483773.7890625,7469.7172309826,"347"
"162","162","25","025","060501","25025060501","605.01",Census Tract 605.01,G5020,S,"411742","0","+42.3368686","-071.0382133",4431658.03589,11519.0966125,754016.97265625,4745.67938074518,"498"
"163","163","25","025","981202","25025981202","9812.02",Census Tract 9812.02,G5020,S,"1594870","933939","+42.3439164","-071.0243619",27217979.4822,29392.0960013,4631835.0078125,12118.9243774195,"401"
"164","164","25","025","040100","25025040100","401",Census Tract 401,G5020,S,"259341","64873","+42.3729980","-071.0601499",3489571.57129,9607.53285317,594397.6796875,3965.61535195736,"286"
"165","165","25","025","040600","25025040600","406",Census Tract 406,G5020,S,"1426899","420711","+42.3830719","-071.0699730",19886347.7642,29215.3626327,3388496.19140625,12062.4201961364,"995"
"166","166","25","025","000602","25025000602","6.02",Census Tract 6.02,G5020,S,"599777","0","+42.3492514","-071.1424570",6455495.77295,12086.6765486,1098786.84765625,4985.45717956449,"186"
"167","167","25","025","000601","25025000601","6.01",Census Tract 6.01,G5020,S,"495044","0","+42.3509820","-071.1457225",5328243.45142,15441.5800277,906988.95703125,6368.02296968381,"343"
"168","168","25","025","000502","25025000502","5.02",Census Tract 5.02,G5020,S,"863889","334529","+42.3315048","-071.1574973",12898832.4551,18521.7810642,2194611.25390625,7636.30945964662,"161"
"169","169","25","025","000402","25025000402","4.02",Census Tract 4.02,G5020,S,"806765","0","+42.3441742","-071.1588288",8683342.12939,11951.5282797,1477751.30078125,4930.41860497012,"198"
"170","170","25","025","000401","25025000401","4.01",Census Tract 4.01,G5020,S,"431043","0","+42.3438495","-071.1492929",4639384.10229,9529.03086203,789533,3930.6972006122,"193"
"171","171","25","025","000202","25025000202","2.02",Census Tract 2.02,G5020,S,"601637","0","+42.3526051","-071.1543443",6475526.5708,12739.9279909,1102312.71484375,5255.26348420727,"299"
"172","172","25","025","000201","25025000201","2.01",Census Tract 2.01,G5020,S,"599378","0","+42.3540662","-071.1611678",6451197.13428,13149.8180027,1098221.7578125,5425.78576751647,"191"
"173","173","25","025","040401","25025040401","404.01",Census Tract 404.01,G5020,S,"429844","28580","+42.3741334","-071.0663888",4934135.24756,14545.1690716,840489.984375,6004.25789535033,"126"
"174","174","25","025","020303","25025020303","203.03",Census Tract 203.03,G5020,S,"448840","78767","+42.3659600","-071.0634677",5678662.51929,11559.3027705,967072.16015625,4768.67297657334,"1968"
"175","175","25","025","070402","25025070402","704.02",Census Tract 704.02,G5020,S,"267664","10223","+42.3451368","-071.0644405",2990942.63599,7358.19852203,509025.02734375,3033.91906791927,"332"
"176","176","25","025","020302","25025020302","203.02",Census Tract 203.02,G5020,S,"76782","0","+42.3593442","-071.0639956",826400.596436,3960.52291362,140705.98046875,1635.41024785843,"159"
"177","177","25","025","020301","25025020301","203.01",Census Tract 203.01,G5020,S,"256258","328","+42.3631745","-071.0686463",2761716.23193,10710.5109222,470280.3125,4418.75881505902,"344"
"178","178","25","025","020101","25025020101","201.01",Census Tract 201.01,G5020,S,"223142","0","+42.3577086","-071.0694112",2401692.51611,7637.22340419,408899.92578125,3149.45161836964,"413"
"179","179","25","025","081001","25025081001","810.01",Census Tract 810.01,G5020,S,"558488","0","+42.3345666","-071.1068303",6011081.99072,16640.5209982,1022670.6484375,6862.32868091087,"503"
"180","180","25","025","010403","25025010403","104.03",Census Tract 104.03,G5020,S,"88556","0","+42.3450750","-071.0880610",953147.468262,4227.64420753,162213.43359375,1744.67147499964,"69"
"181","181","25","025","000100","25025000100","1",Census Tract 1,G5020,S,"1794942","0","+42.3614845","-071.1385879",19319283.0764,28223.0595602,3289593.31640625,11640.4977091294,"364"
