DEPARTMENT_NAME,Total,0_10K,10_20K,20_30K,30_40K,40_50K,50_60K,60_70K,70_80K,80_90K,90_100K,100_110K,110_120K,120_130K,130_140K,140_150K,150_160K,160_170K,170_180K,180_190K,190_200K,200_210K,210_220K,220_230K,230_240K,240_250K
BPS Facility Mgmt/A & R,19,0,0,0,0,0,0,0,0.105263158,0.105263158,0.052631579,0.421052632,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0
Election Division,18,0.055555556,0,0.111111111,0.055555556,0.222222222,0.166666667,0.055555556,0.055555556,0.111111111,0.055555556,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0
Cemetery Division,14,0.071428571,0.071428571,0,0.071428571,0.214285714,0.142857143,0.142857143,0.142857143,0,0,0.071428571,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0
UP Academy Holland,14,0,0.285714286,0.214285714,0,0.428571429,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS School Safety Service,12,0,0,0,0,0.166666667,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dpt of Innovation & Technology,8,0,0,0,0,0,0.125,0.125,0.375,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Boston Retirement System,8,0,0,0,0,0,0.125,0.375,0.25,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0
BPS Dever Elementary,8,0.125,0.125,0,0,0.25,0.375,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of Streets,7,0,0,0,0,0.142857143,0,0.142857143,0.285714286,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP Academy Dorchester,6,0,0.333333333,0.166666667,0,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Facilities Department,5,0,0,0,0,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Human Resource Team,3,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighborhood Services,3,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City Clerk,2,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASD Purchasing Division,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Special Education,2,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellison/Parks EES,2,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UP ""Unlocking Potential"" Acad",2,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditing Department,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Transportation,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasury-Collecting Division,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS East Boston High,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Snowden International Hi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Trotter Elementary,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Murphy Elementary,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curley K-8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Boston EEC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Hale Elementary,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Hennigan Elementary,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPS Channing Elementary,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation-Parking Clerk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasury-Treasury Division,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youth Engagement & Employment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
