,Fiscal Year,Fund Number,Fund Name,Cabinet/Secretariat Name,Department Code,Department Name,Appropriation/Account Number,Appropriation/Account Name,Beginning Balance/Prior Appropriation Continued (PAC),Original Enacted Budget (General Appropriation Act),Supplemental Budget Appropriations,Transfer In,Transfer Out,Authorized Retained Revenue Floor,Authorized Retained Revenue Ceiling,Retained Revenue Estimate,Retained Revenue Collected,Planned Savings (9C Spending Cut),Total Enacted Budget Appropriation,Other Statutorily Authorized Spending,Total Available for Spending,Total Expenses,Balance Forward/Prior Appropriation Continued (PAC),Unexpended/Reverted
22598,2021,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,56100,0,0,0,0,0,0,0,,56100,0,0,56100
24127,2021,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,50907,0,0,0,0,0,0,0,,50907,0,0,50907
24667,2021,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,82000200,FOR ADMINISTRATION OF TRAINING BY THE,0,0,0,61800.7,0,0,0,0,0,0,0,,61800.7,0,0,61800.7
25950,2021,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108500,Nantucket Sheriff's Department,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
26818,2021,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,70200,0,0,0,0,0,0,0,,70200,0,0,70200
28551,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3300613,CSG Reserve,0,0,0,107000,0,0,0,0,0,0,0,,107000,0,0,107000
28588,2021,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,25000,0,0,0,0,0,0,0,,25000,1717.22,0,23282.78
28598,2021,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3300613,CSG Reserve,0,0,0,110000,0,0,0,0,0,0,0,,110000,0,0,110000
28713,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,348085,0,0,0,0,0,0,0,,348085,18831.99,0,329253.01
28749,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89100104,Hampden Section 35,0,1000000,0,0,0,0,0,0,0,0,1000000,,1000000,279186.91,0,720813.09
28797,2021,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,28100100,STATE PARKS AND RECREATION,0,0,0,12291.6,0,0,0,0,0,0,0,,12291.6,2609.52,0,9682.08
28858,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101010,Hampden Sheriff Regional Mental Health Stab. Unit,0,1091246,0,0,0,0,0,0,0,0,1091246,,1091246,86384.03,0,1004861.97
28908,2021,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,567834,0,0,0,0,0,0,0,,567834,0,0,567834
29000,2021,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108213,Barnstable Sheriff Communications Retained Revenue,0,0,0,0,0,0,1000000,1000000,359193.78,0,0,,359193.78,69824.6,0,289369.18
29001,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101100,MIDDLESEX PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,75000,75000,0,0,0,,0,0,0,0
29086,2021,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108401,Dukes Sheriff Communications Retained Revenue,0,0,0,0,0,0,200000,200000,0,0,0,,0,0,0,0
29089,2021,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108718,Plymouth Sheriff Communications Retained Revenue,0,0,0,0,0,0,300000,300000,0,0,0,,0,0,0,0
29094,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100450,Middlesex Sheriff Community Programs Retained Revenue,0,0,0,0,0,0,100000,100000,0,0,0,,0,0,0,0
29138,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101101,Middlesex Sheriff Mental Health Stab Unit,0,904880,0,0,0,0,0,0,0,0,904880,,904880,0,0,904880
29144,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101020,Hampden Sheriff Inmate Transfers,0,608835,0,0,0,0,,0,0,0,608835,,608835,43773.23,0,565061.77
29278,2021,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101112,Hampshire Regional Lockup Retained Revenue,0,0,0,0,0,0,167352,167352,113806,0,0,,113806,13151.48,0,100654.52
29285,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,70660040,Bridges to College,23385.33,0,0,16525,0,0,0,0,0,0,0,,39910.33,0,0,39910.33
29296,2021,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100445,BERKSHIRE SHERIFF'S RETAINED REVENUE,0,0,0,0,0,0,400000,400000,210807.42,0,0,,210807.42,0,0,210807.42
29305,2021,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1446,0,0,0,0,0,0,0,,1446,6386.26,0,-4940.26
29319,2021,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108400,Dukes Sheriff's Department,0,3034009,0,0,0,0,0,0,0,0,3034009,,3034009,358693.41,0,2675315.59
29322,2021,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108630,Norfolk Sheriff Community Programs Retained Revenue,0,0,0,0,0,0,160000,160000,56675,0,0,,56675,1416.97,0,55258.03
29325,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101000,HAMPDEN PRISON INDUSTRIES RETAINED,0,0,0,0,0,0,2991332,2991332,175070.38,0,0,,175070.38,169332.78,0,5737.6
29376,2021,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,56200,0,0,0,0,0,0,0,,56200,0,0,56200
29393,2021,10,General Fund,SHERIFF DEPARTMENTS,SDA,SHERIFFS DEPARTMENT ASSOCIATION,89107110,MASS SHERIFF'S ASSOCIATION Operations,0,461742,0,0,0,0,,0,0,0,461742,,461742,26289.4,0,435452.6
29395,2021,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108629,Norfolk Sheriff Communications Retained Revenue,0,0,0,0,0,0,55430,55430,12820.88,0,0,,12820.88,848.93,0,11971.95
29426,2021,10,General Fund,SHERIFF DEPARTMENTS,NSD,SHERIFF DEPARTMENT NANTUCKET,89108500,Nantucket Sheriff's Department,0,780731,0,6644.14,6644.14,0,0,0,0,0,780731,,780731,38780.1,0,741950.9
29474,2021,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,52500,0,0,0,0,0,0,0,,52500,0,0,52500
29491,2021,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108600,Norfolk Sheriff's Department,0,32843581,0,0,0,0,0,0,0,0,32843581,,32843581,2910922.46,0,29932658.54
29555,2021,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,886240,0,0,0,0,0,0,0,,886240,147732.01,0,738507.99
29703,2021,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100145,BERKSHIRE SHERIFF'S DEPARTMENT,0,18512496,0,0,0,0,0,0,0,0,18512496,,18512496,1452589.16,0,17059906.84
158,2020,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108400,Dukes Sheriff's Department,0,3034009,0,1991473.26,1217553.26,0,0,0,0,0,3034009,,3807929,3799825.94,0,8103.06
734,2020,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89100619,ESSEX SHERIFF'S DEPARTMENT,0,61658442,0,33188955.6,16498236.6,0,0,0,0,0,61658442,,78349161,77579896.78,0,769264.22
810,2020,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,70200,0,0,0,0,0,0,0,,70200,67226.64,0,2973.36
918,2020,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,28100100,STATE PARKS AND RECREATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2849,2020,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3300601,Specialty Drug Courts,0,0,0,60000,0,0,0,0,0,0,0,,60000,60005.92,0,-5.92
2907,2020,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,28100100,STATE PARKS AND RECREATION,0,0,0,15364.5,0,0,0,0,0,0,0,,15364.5,9970.35,0,5394.15
2951,2020,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1270,0,0,0,0,0,0,0,,1270,1270,0,0
3607,2020,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108700,Plymouth Sheriff's Department,0,58003921,0,15007089.97,6061117.97,0,0,0,0,0,58003921,,66949893,65637195.28,0,1312697.72
5065,2020,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,110041050,0,23593765,16018300,0,0,0,0,0,110041050,,117616515,113004229.5,0,4612285.46
6020,2020,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108600,Norfolk Sheriff's Department,0,32843581,0,22278365.8,16900748.37,0,0,0,0,0,32843581,,38221198.43,37861313.61,0,359884.82
7017,2020,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1936,0,0,0,0,0,0,0,,1936,0,0,1936
7756,2020,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,89108629,Norfolk Sheriff Communications Retained Revenue,0,0,0,0,0,0,150000,150000,63640.13,0,0,,63640.13,63577.4,0,62.73
7863,2020,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108300,Bristol Sheriff's Department,0,47241654,0,13790646.02,5480958.02,0,0,0,0,0,47241654,,55551342,55210702.64,0,340639.36
7967,2020,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,128309,0,0,0,0,0,0,0,,128309,128281.52,0,27.48
8047,2020,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108500,Nantucket Sheriff's Department,0,0,0,229646.09,2136.9,0,0,0,0,0,0,,227509.19,227509.19,0,0
8159,2020,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101030,Western Mass Regional Women's Correction,0,4206665,0,0,0,0,,0,0,0,4206665,,4206665,4104625.84,0,102039.16
8253,2020,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,0,69791598,0,9027758.14,5084622.14,0,0,0,0,0,69791598,,73734734,72416456.56,0,1318277.44
9064,2020,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10267,2020,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89101101,Middlesex Sheriff Mental Health Stab Unit,0,904880,0,26436,26436,0,0,0,0,0,904880,,904880,904773.41,0,106.59
10284,2020,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89101112,Hampshire Regional Lockup Retained Revenue,0,0,0,0,0,0,167352,167352,166433,0,0,,166433,166350.77,0,82.23
10345,2020,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,81239,0,0,0,0,0,0,0,,81239,80776.02,0,462.98
10886,2020,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,82000200,FOR ADMINISTRATION OF TRAINING BY THE,0,0,0,61800.7,0,0,0,0,0,0,0,,61800.7,51500.58,0,10300.12
10991,2020,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,56100,0,0,0,0,0,0,0,,56100,36544.01,0,19555.99
11158,2020,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,152462,0,0,0,0,0,0,0,,152462,149731.96,0,2730.04
11681,2020,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,968803.76,62303.76,0,0,0,0,0,0,,906500,899176.03,0,7323.97
11888,2020,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,46755,0,0,0,0,0,0,0,,46755,46754.99,0,0.01
12069,2020,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108213,Barnstable Sheriff Communications Retained Revenue,0,0,0,0,0,0,2400000,2400000,584960.55,0,0,,584960.55,584054.57,0,905.98
12277,2020,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101010,Hampden Sheriff Regional Mental Health Stab. Unit,0,1091246,0,0,0,0,0,0,0,0,1091246,,1091246,1087114.47,0,4131.53
12488,2020,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,314360.75,156600,0,0,0,0,0,0,,157760.75,154130.07,0,3630.68
12869,2020,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,176320,62834,0,0,0,0,0,0,,113486,108018.89,0,5467.11
13801,2020,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,89108401,Dukes Sheriff Communications Retained Revenue,0,0,0,0,0,0,200000,200000,0,0,0,,0,0,0,0
15278,2020,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100106,Reimbursement from Housing,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
15354,2020,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3300613,CSG Reserve,0,0,0,117116,10116,0,0,0,0,0,0,,107000,100289.26,0,6710.74
16818,2020,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,51012,0,0,0,0,0,0,0,,51012,50817.61,0,194.39
18833,2020,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1936,0,0,0,0,0,0,0,,1936,0,0,1936
19296,2020,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100446,Berkshire Retained Revenue from Pittsfield Schools,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
19969,2020,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100888,Franklin Sheriff Industries RR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
20184,2020,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108318,Bristol County Sheriff Salary Adjustments,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
20830,2020,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,52500,0,0,0,0,0,0,0,,52500,50925.84,0,1574.16
23002,2020,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108718,Plymouth Sheriff Communications Retained Revenue,0,0,0,0,0,0,300000,300000,0,0,0,,0,0,0,0
24394,2020,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100450,Middlesex Sheriff Community Programs Retained Revenue,0,0,0,0,0,0,100000,100000,19357.82,0,0,,19357.82,19111.26,0,246.56
