,fiscal_year,revenue_category_name,fund_category_name,fund_number,sub_fund,sub_fund_name,fund_name,revenue_class_name,cabinet_name,department_code,department_name,revenue_source,revenue_source_name,revenue_collected,fiscal_period,apd_nm,trans_no,fiscal_period_month,fund_number_fund_name,department_code_department,revenue_source_revenue_source
690,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,5284,SSA DATA MATCH FEES,3800.0,12,June,201901001003SDM,12 (June),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),SSA DATA MATCH FEES (5284)
720,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,STATE LOTTERY,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,4586,SALES-PRISON GOODS,106095.22,1,July,201901001004SDH,01 (July),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SALES-PRISON GOODS (4586)
748,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,1800.0,8,February,201901001003SDE,08 (February),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
776,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,0500,FEES,0.0,8,February,201901001004HSD,08 (February),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FEES (0500)
800,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3500,REIMBURSEMENTS,2901.0,3,September,201901001004SDE,03 (September),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),REIMBURSEMENTS (3500)
846,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,5284,SSA DATA MATCH FEES,200.0,11,May,201901001003SDB,11 (May),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),SSA DATA MATCH FEES (5284)
858,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5212,FED-INMATE REIMBURSEMENT,463.0,6,December,201901001003SDE,06 (December),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),FED-INMATE REIMBURSEMENT (5212)
903,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,5284,SSA DATA MATCH FEES,2000.0,5,November,201901001003SDB,05 (November),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),SSA DATA MATCH FEES (5284)
908,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5212,FED-INMATE REIMBURSEMENT,3710.03,3,September,201901001003SDE,03 (September),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),FED-INMATE REIMBURSEMENT (5212)
911,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,6900,MISC,100.0,2,August,201901001007HSD,02 (August),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),MISC (6900)
918,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3501,REIMB-BOARD OF INMATES,17172.17,13,Adjustment 1,201901001004SDH,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),REIMB-BOARD OF INMATES (3501)
1039,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3508,REIMB-MEALS,1450.55,8,February,201901001004HSD,08 (February),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),REIMB-MEALS (3508)
1045,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,6900,MISC,12256.34,13,Adjustment 1,201901001007SDN,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT NORFOLK (SDN),MISC (6900)
1054,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,6900,MISC,10.0,4,October,201901001007SDW,04 (October),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),MISC (6900)
1141,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3500,REIMBURSEMENTS,4013.0,11,May,201901001004SDE,11 (May),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),REIMBURSEMENTS (3500)
1166,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5212,FED-INMATE REIMBURSEMENT,63411.0,5,November,201901001003SDH,05 (November),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),FED-INMATE REIMBURSEMENT (5212)
1232,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,6900,MISC,192.8,6,December,201901001007SDB,06 (December),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),MISC (6900)
1249,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,5284,SSA DATA MATCH FEES,6000.0,6,December,201901001003SDM,06 (December),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),SSA DATA MATCH FEES (5284)
1288,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,3500,REIMBURSEMENTS,4200.0,3,September,201901001004SDB,03 (September),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),REIMBURSEMENTS (3500)
1294,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,3500,REIMBURSEMENTS,15533.4,4,October,201901001004SDB,04 (October),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),REIMBURSEMENTS (3500)
1327,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,STATE LOTTERY,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,4586,SALES-PRISON GOODS,234758.98,11,May,201901001004SDH,11 (May),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SALES-PRISON GOODS (4586)
1338,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,5212,FED-INMATE REIMBURSEMENT,476509.27,3,September,201901001003SDP,03 (September),General Fund (0010),SHERIFF DEPARTMENT PLYMOUTH (SDP),FED-INMATE REIMBURSEMENT (5212)
1347,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,6900,MISC,0.1,9,March,201901001007SDH,09 (March),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),MISC (6900)
1355,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5284,SSA DATA MATCH FEES,9600.0,12,June,201901001003SDH,12 (June),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SSA DATA MATCH FEES (5284)
1358,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5212,FED-INMATE REIMBURSEMENT,131040.0,2,August,201901001003SDF,02 (August),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),FED-INMATE REIMBURSEMENT (5212)
1400,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5212,FED-INMATE REIMBURSEMENT,12866.42,2,August,201901001003SDE,02 (August),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),FED-INMATE REIMBURSEMENT (5212)
1445,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5284,SSA DATA MATCH FEES,-11800.0,4,October,201901001003SDH,04 (October),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SSA DATA MATCH FEES (5284)
1448,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,RENTS,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,4000,RENTS,333.33,10,April,201901001004SDM,10 (April),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),RENTS (4000)
1473,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5221,MISCELLANEOUS FEDERAL,21816.12,9,March,201901001003SDF,09 (March),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISCELLANEOUS FEDERAL (5221)
1496,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3500,REIMBURSEMENTS,4080.0,4,October,201901001004SDE,04 (October),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),REIMBURSEMENTS (3500)
1516,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5212,FED-INMATE REIMBURSEMENT,235235.0,12,June,201901001003SDF,12 (June),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),FED-INMATE REIMBURSEMENT (5212)
1552,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,6900,MISC,137.0,8,February,201901001007SDW,08 (February),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),MISC (6900)
1586,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3508,REIMB-MEALS,1292.3,11,May,201901001004HSD,11 (May),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),REIMB-MEALS (3508)
1635,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5284,SSA DATA MATCH FEES,400.0,6,December,201901001003SDF,06 (December),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),SSA DATA MATCH FEES (5284)
1650,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3500,REIMBURSEMENTS,6081.0,10,April,201901001004SDE,10 (April),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),REIMBURSEMENTS (3500)
1652,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3501,REIMB-BOARD OF INMATES,16564.83,5,November,201901001004SDH,05 (November),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),REIMB-BOARD OF INMATES (3501)
1669,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,6900,MISC,16000.77,9,March,201901001007SDF,09 (March),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISC (6900)
1676,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5212,FED-INMATE REIMBURSEMENT,12320.0,12,June,201901001003HSD,12 (June),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FED-INMATE REIMBURSEMENT (5212)
1693,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3508,REIMB-MEALS,961.05,9,March,201901001004HSD,09 (March),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),REIMB-MEALS (3508)
1709,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,5212,FED-INMATE REIMBURSEMENT,106576.35,2,August,201901001003SDN,02 (August),General Fund (0010),SHERIFF DEPARTMENT NORFOLK (SDN),FED-INMATE REIMBURSEMENT (5212)
1718,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,6900,MISC,1527.63,6,December,201901001007SDW,06 (December),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),MISC (6900)
1720,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5212,FED-INMATE REIMBURSEMENT,10912.0,13,Adjustment 1,201901001003HSD,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FED-INMATE REIMBURSEMENT (5212)
1741,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,6900,MISC,447002.18,5,November,201901001007BSD,05 (November),General Fund (0010),SHERIFF DEPARTMENT BRISTOL (BSD),MISC (6900)
1749,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,5284,SSA DATA MATCH FEES,3000.0,9,March,201901001003SDW,09 (March),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),SSA DATA MATCH FEES (5284)
1892,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,1600.0,3,September,201901001003SDE,03 (September),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
