fiscal_year,revenue_category_name,fund_category_name,fund_number,sub_fund,sub_fund_name,fund_name,revenue_class_name,cabinet_name,department_code,department_name,revenue_source,revenue_source_name,revenue_collected,fiscal_period,apd_nm,trans_no,fiscal_period_month,fund_number_fund_name,department_code_department,revenue_source_revenue_source
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,519487.81,11,May,201909115308MGC,11 (May),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,8213291.88,12,June,201909115008MGC,12 (June),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1075625.02,9,March,201909115008MGC,09 (March),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,504883.43,6,December,201909115308MGC,06 (December),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,242015.63,9,March,201909110608MGC,09 (March),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1847990.67,12,June,201909110608MGC,12 (June),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,529536.31,5,November,201909115308MGC,05 (November),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,250832.99,5,November,201909110608MGC,05 (November),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,510921.88,9,March,201909115308MGC,09 (March),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1093658.54,11,May,201909115008MGC,11 (May),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,1349041.38,13,Adjustment 1,201909115008MGC,13 (Adjustment 1),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,687823.06,8,February,201909115108MGC,08 (February),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,10988400.1,11,May,201909115008MGC,11 (May),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,5021555.49,5,November,201909115008MGC,05 (November),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,223427.55,3,September,201909115308MGC,03 (September),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1350657.81,4,October,201909115008MGC,04 (October),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,11809249.16,2,August,201909115008MGC,02 (August),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,868556.82,13,Adjustment 1,201909115308MGC,13 (Adjustment 1),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,221085.98,8,February,201909110608MGC,08 (February),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,51.34,15,Adjustment 3,201909110608MGC,15 (Adjustment 3),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,108.38,15,Adjustment 3,201909115308MGC,15 (Adjustment 3),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,289486.71,10,April,201909110608MGC,10 (April),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,641562.46,4,October,201909115308MGC,04 (October),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1286607.62,10,April,201909115008MGC,10 (April),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,780369.3,5,November,201909115108MGC,05 (November),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,7147726.14,9,March,201909115008MGC,09 (March),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,752937.51,9,March,201909115108MGC,09 (March),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,982604.37,8,February,201909115008MGC,08 (February),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,12158114.05,4,October,201909115008MGC,04 (October),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1279978.47,13,Adjustment 1,201909115108MGC,13 (Adjustment 1),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1062912.48,6,December,201909115008MGC,06 (December),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,228.17,15,Adjustment 3,201909115008MGC,15 (Adjustment 3),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1828540.68,13,Adjustment 1,201909115008MGC,13 (Adjustment 1),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,514118.44,7,January,201909115308MGC,07 (January),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,0010,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,5212,FED-INMATE REIMBURSEMENT,1061638.61,6,December,201901001003SDP,06 (December),General Fund (0010),SHERIFF DEPARTMENT PLYMOUTH (SDP),FED-INMATE REIMBURSEMENT (5212)
2019,TAXES,Budgeted Funds,0010,0000,SFUND IS ZERO,General Fund,TAXES DEEDS,EXECUTIVE OFFICE FOR ADMINSTRATION & FINANCE,DOR,DEPARTMENT OF REVENUE,0141,DEED EXCISE,17620686.01,6,December,201901001001DOR,06 (December),General Fund (0010),DEPARTMENT OF REVENUE (DOR),DEED EXCISE (0141)
2019,DEPARTMENTAL,Budgeted Funds,0010,0000,SFUND IS ZERO,General Fund,FEES,SECRETARY OF STATE,SEC,SECRETARY OF STATE,0514,NON-PROFIT CHARTERS,6860,8,February,201901001004SEC,08 (February),General Fund (0010),SECRETARY OF STATE (SEC),NON-PROFIT CHARTERS (0514)
